instant,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
0,1,6.0,1,6,1169.0,4,0,4.0,3,2,4.0,3,67.0,1,1,2.0,1,1.0,1,1,1
1,2,48.0,3,6,5951.0,1,2,2.0,0,2,2.0,3,22.0,1,1,1.0,1,1.0,0,1,0
2,3,12.0,1,2,2096.0,1,3,2.0,3,2,3.0,3,49.0,1,1,1.0,3,2.0,0,1,1
3,1,42.0,3,3,7882.0,1,3,2.0,3,1,4.0,1,45.0,1,0,1.0,1,2.0,0,1,1
4,1,24.0,2,4,4870.0,1,2,3.0,3,2,4.0,2,53.0,1,0,2.0,1,2.0,0,1,0
5,3,36.0,3,2,9055.0,4,2,2.0,3,2,4.0,2,35.0,1,0,1.0,3,2.0,1,1,1
6,3,24.0,3,3,2835.0,3,0,3.0,3,2,4.0,1,53.0,1,1,1.0,1,1.0,0,1,1
7,2,36.0,3,9,6948.0,1,2,2.0,3,2,2.0,0,35.0,1,2,1.0,0,1.0,1,1,1
8,3,12.0,3,6,3059.0,0,3,2.0,1,2,4.0,3,61.0,1,1,1.0,3,1.0,0,1,1
9,2,30.0,1,4,5234.0,1,4,4.0,2,2,2.0,0,28.0,1,1,2.0,0,1.0,0,1,0
10,2,12.0,3,4,1295.0,1,1,3.0,0,2,1.0,0,25.0,1,2,1.0,1,1.0,0,1,0
11,1,48.0,3,0,4308.0,1,1,3.0,0,2,4.0,1,24.0,1,2,1.0,1,1.0,0,1,0
12,2,12.0,3,6,1567.0,1,2,1.0,0,2,1.0,0,22.0,1,1,1.0,1,1.0,1,1,1
13,1,24.0,1,4,1199.0,1,0,4.0,3,2,4.0,0,60.0,1,1,2.0,3,1.0,0,1,0
14,1,15.0,3,4,1403.0,1,2,2.0,0,2,4.0,0,28.0,1,2,1.0,1,1.0,0,1,1
15,1,24.0,3,6,1282.0,2,2,4.0,0,2,2.0,0,32.0,1,1,1.0,3,1.0,0,1,0
16,3,24.0,1,6,2424.0,4,0,4.0,3,2,4.0,1,53.0,1,1,2.0,1,1.0,0,1,1
17,1,30.0,4,0,8072.0,4,1,2.0,3,2,3.0,0,25.0,0,1,3.0,1,1.0,0,1,1
18,2,24.0,3,9,12579.0,1,0,4.0,0,2,2.0,2,44.0,1,0,1.0,0,1.0,1,1,0
19,3,24.0,3,6,3430.0,3,0,3.0,3,2,2.0,0,31.0,1,1,1.0,1,2.0,1,1,1
20,3,9.0,1,4,2134.0,1,2,4.0,3,2,4.0,0,48.0,1,1,3.0,1,1.0,1,1,1
21,1,6.0,3,6,2647.0,3,2,2.0,3,2,3.0,3,44.0,1,2,1.0,1,2.0,0,1,1
22,1,10.0,1,4,2241.0,1,1,1.0,3,2,3.0,3,48.0,1,2,2.0,3,2.0,0,0,1
23,2,12.0,1,9,1804.0,2,1,3.0,3,2,4.0,1,44.0,1,1,1.0,1,1.0,0,1,1
24,3,10.0,1,3,2069.0,4,2,2.0,2,2,1.0,0,26.0,1,1,2.0,1,1.0,0,0,1
25,1,6.0,3,3,1374.0,1,2,1.0,3,2,2.0,3,36.0,0,1,1.0,3,1.0,1,1,1
26,3,6.0,4,6,426.0,1,0,4.0,2,2,4.0,0,39.0,1,1,1.0,3,1.0,0,1,1
27,0,12.0,0,6,409.0,0,2,3.0,0,2,3.0,3,42.0,1,2,2.0,1,1.0,0,1,1
28,2,7.0,3,6,2415.0,1,2,3.0,3,1,2.0,3,34.0,1,1,1.0,1,1.0,0,1,1
29,1,60.0,2,0,6836.0,1,0,3.0,3,2,4.0,2,63.0,1,1,2.0,1,1.0,1,1,0
30,2,18.0,3,0,1913.0,0,1,3.0,2,2,3.0,3,36.0,0,1,1.0,1,1.0,1,1,1
31,1,24.0,3,3,4020.0,1,2,2.0,3,2,2.0,0,27.0,2,1,1.0,1,1.0,0,1,1
32,2,18.0,3,4,5866.0,2,2,2.0,3,2,2.0,0,30.0,1,1,2.0,1,1.0,1,1,1
33,3,12.0,1,0,1264.0,4,0,4.0,3,2,4.0,2,57.0,1,2,1.0,3,1.0,0,1,1
34,0,12.0,3,3,1474.0,1,1,4.0,0,2,1.0,1,33.0,0,1,1.0,0,1.0,1,1,1
