instant,Day.Of.Week,target
1,1,2146
2,2,3621
3,3,3698
4,4,3667
5,5,3316
6,6,2815
7,7,1658
8,1,2288
9,2,3638
10,3,4462
11,4,4414
12,5,4315
13,6,3323
14,7,1656
15,1,2465
16,2,4096
17,3,4474
18,4,4124
19,5,3514
20,6,3005
21,7,2054
22,1,2847
23,2,4501
24,3,4603
25,4,4187
26,5,4343
27,6,3565
28,7,2080
29,1,3031
30,2,4814
31,3,5040
32,4,5028
33,5,4658
34,6,3624
35,7,2285
36,1,3454
37,2,5307
38,3,5135
39,4,5084
40,5,4650
41,6,3571
42,7,2354
43,1,3497
44,2,5294
45,3,4643
46,4,4596
47,5,4162
48,6,2933
49,7,2202
50,1,3083
51,2,4376
52,3,4704
53,4,4306
54,5,4178
55,6,3236
56,7,2010
57,1,2901
58,2,4754
59,3,4417
60,4,4535
61,5,4274
62,6,3382
63,7,2085
64,1,3083
65,2,4860
66,3,4893
67,4,4866
68,5,4584
69,6,3914
70,7,2431
71,1,3157
72,2,5045
73,3,4746
74,4,4314
75,5,3663
76,6,3270
77,7,2905
78,1,4016
79,2,5266
80,3,5795
81,4,5728
82,5,5293
83,6,3934
84,7,3071
85,1,3876
86,2,5878
87,3,5712
88,4,5491
89,5,5144
90,6,3880
91,7,2605
92,1,3625
93,2,4685
94,3,4891
95,4,4222
96,5,3691
97,6,2748
98,7,1380
99,1,1474
100,2,2452
101,3,2298
102,4,1430
103,5,1002
104,6,1486
105,7,1345
106,1,1453
107,2,2173
108,3,2208
109,4,1381
110,5,1265
111,6,1948
112,7,1742
113,1,1896
114,2,3033
115,3,3445
116,4,3423
117,5,3319
118,6,2783
119,7,1952
120,1,2245
121,2,3928
122,3,3810
123,4,3931
124,5,3523
125,6,2943
126,7,1751
127,1,2491
128,2,3766
129,3,4194
130,4,4038
131,5,3891
132,6,3111
133,7,1946
134,1,2802
135,2,3892
136,3,4172
137,4,4464
138,5,4377
139,6,3734
140,7,2262
141,1,3050
142,2,4794
143,3,4936
144,4,5016
145,5,4489
146,6,3505
147,7,2264
148,1,3314
149,2,5095
150,3,5525
151,4,5074
152,5,4571
153,6,3570
154,7,2182
155,1,3265
156,2,4670
157,3,4764
158,4,4943
159,5,4790
160,6,3604
161,7,2455
162,1,3650
163,2,5463
164,3,5884
165,4,5615
166,5,5289
167,6,4434
168,7,2665
169,1,3907
170,2,5308
171,3,5773
172,4,5585
173,5,4783
174,6,3893
175,7,2917
176,1,3353
177,2,5400
178,3,5395
179,4,5229
180,5,5371
181,6,4185
182,7,2724
183,1,3590
184,2,5367
185,3,5440
186,4,5465
187,5,5318
188,6,4225
189,7,2687
190,1,3791
191,2,5661
192,3,5759
193,4,5599
194,5,5103
195,6,4313
196,7,2971
197,1,3662
198,2,5635
199,3,5581
200,4,5329
201,5,4553
202,6,3423
203,7,2708
204,1,3306
205,2,5203
206,3,5712
207,4,5601
208,5,5486
209,6,4178
210,7,2878
211,1,4169
212,2,6372
213,3,6240
214,4,6170
215,5,6071
216,6,4682
217,7,3208
218,1,4310
219,2,6435
220,3,6299
221,4,6360
222,5,6349
223,6,4660
224,7,3354
225,1,4371
226,2,6534
227,3,6832
228,4,6689
229,5,5849
230,6,4247
231,7,3219
232,1,4211
233,2,6424
234,3,6223
235,4,6551
236,5,6343
237,6,4696
238,7,3134
239,1,3868
240,2,6020
241,3,5705
242,4,5752
243,5,5181
244,6,4269
245,7,2633
246,1,3336
247,2,5127
248,3,5449
249,4,5746
250,5,5115
251,6,3995
252,7,2618
253,1,2961
254,2,4090
255,3,5201
256,4,5321
257,5,5219
258,6,4017
259,7,2297
260,1,3145
261,2,4905
262,3,4747
263,4,4591
264,5,4431
265,6,3608
266,7,2422
267,1,3132
268,2,4962
269,3,4881
270,4,5001
271,5,4635
272,6,3545
273,7,2262
274,1,2866
275,2,4692
276,3,4602
277,4,4620
278,5,4475
279,6,3564
280,7,2071
281,1,2659
282,2,4338
283,3,4531
284,4,4498
285,5,4128
286,6,3132
287,7,1829
288,1,2149
289,2,3975
290,3,4046
291,4,3897
292,5,3871
293,6,2630
294,7,1602
295,1,1960
296,2,4143
297,3,4205
298,4,4193
299,5,3710
300,6,3137
301,7,1834
302,1,2070
303,2,4180
304,3,4038
305,4,3906
306,5,3580
307,6,2948
308,7,1622
309,1,2179
310,2,3906
311,3,3745
312,4,4212
313,5,3901
314,6,3292
315,7,1819
316,1,2068
317,2,3991
318,3,4073
319,4,4069
320,5,3716
321,6,3380
322,7,1737
323,1,2181
324,2,3973
325,3,3997
326,4,4132
327,5,3791
328,6,2968
329,7,1752
330,1,2070
331,2,3920
332,3,4106
333,4,4006
334,5,3827
335,6,2944
336,7,1827
337,1,2373
338,2,4031
339,3,4027
340,4,3912
341,5,3867
342,6,3304
343,7,1685
344,1,2130
345,2,3936
346,3,4029
347,4,4010
348,5,4027
349,6,2829
350,7,1736
351,1,2517
352,2,4029
353,3,4261
354,4,4058
355,5,4392
356,6,3072
357,7,1799
358,1,2341
359,2,3330
360,3,4734
361,4,4801
362,5,4399
363,6,3275
364,7,2042
365,1,2827
366,2,4836
367,3,4840
368,4,4504
369,5,4379
370,6,3391
371,7,2045
372,1,2721
373,2,4630
374,3,4748
375,4,4702
376,5,4440
377,6,3513
378,7,2253
379,1,3141
380,2,5122
381,3,5151
382,4,4969
383,5,4619
384,6,3443
385,7,2302
386,1,3291
387,2,5206
388,3,5474
389,4,5400
390,5,5334
391,6,4174
392,7,2571
393,1,3572
394,2,5018
395,3,5565
396,4,5420
397,5,5366
398,6,4091
399,7,2824
400,1,3843
401,2,5516
402,3,5572
403,4,5243
404,5,5133
405,6,4084
406,7,2739
407,1,3781
408,2,5684
409,3,5687
410,4,5906
411,5,5541
412,6,4171
413,7,2586
414,1,3838
415,2,5675
416,3,5624
417,4,5794
418,5,5389
419,6,4305
420,7,3281
421,1,3790
422,2,5894
423,3,5461
424,4,5206
425,5,5228
426,6,4097
427,7,2694
428,1,3893
429,2,6185
430,3,6178
431,4,6067
432,5,5656
433,6,4398
434,7,2836
435,1,3896
436,2,5814
437,3,5879
438,4,4800
439,5,3838
440,6,3576
441,7,2799
442,1,4228
443,2,6331
444,3,6380
445,4,6314
446,5,6160
447,6,4859
448,7,3317
449,1,4715
450,2,6940
451,3,6551
452,4,6327
453,5,6212
454,6,4687
455,7,3014
456,1,4132
457,2,5989
458,3,5331
459,4,5183
460,5,4769
461,6,3627
462,7,1857
463,1,2221
464,2,3335
465,3,2883
466,4,2353
467,5,1578
468,6,1017
469,7,1334
470,1,1690
471,2,2838
472,3,2815
473,4,2382
474,5,1587
475,6,1411
476,7,1838
477,1,2180
478,2,3587
479,3,3855
480,4,3840
481,5,3735
482,6,3223
483,7,2207
484,1,2814
485,2,4007
486,3,4119
487,4,4338
488,5,4432
489,6,3306
490,7,2223
491,1,2757
492,2,4047
493,3,4489
494,4,4588
495,5,4398
496,6,3340
497,7,2344
498,1,2973
499,2,4638
500,3,4791
501,4,5104
502,5,4621
503,6,3831
504,7,2295
505,1,3235
506,2,4918
507,3,5127
508,4,4794
509,5,4788
510,6,3948
511,7,2383
512,1,2950
513,2,4905
514,3,5353
515,4,5492
516,5,5052
517,6,3764
518,7,2458
519,1,3098
520,2,4951
521,3,5495
522,4,5505
523,5,5188
524,6,4002
525,7,2607
526,1,3906
527,2,6360
528,3,6046
529,4,5938
530,5,5325
531,6,4165
532,7,2829
533,1,4090
534,2,5734
535,3,6214
536,4,5906
537,5,5814
538,6,4507
539,7,2859
540,1,3897
541,2,5849
542,3,6264
543,4,6062
544,5,5685
545,6,4391
546,7,2880
547,1,3740
548,2,5710
549,3,5168
550,4,5577
551,5,5238
552,6,3931
553,7,2606
554,1,3149
555,2,5565
556,3,5281
557,4,5202
558,5,4581
559,6,3264
560,7,2344
561,1,3112
562,2,5051
563,3,5333
564,4,5671
565,5,5097
566,6,4555
567,7,2987
568,1,4257
569,2,5804
570,3,5885
