instant,Day.Of.Week,Month,Day,Month/Day,Returning.Visits,target
1571,3,1,1,101,277,1715
1936,4,1,1,101,235,1554
475,6,1,1,101,174,1411
1206,2,1,1,101,242,1709
110,5,1,1,101,161,1265
841,1,1,1,101,207,1447
1937,5,1,2,102,329,2820
476,7,1,2,102,228,1838
1207,3,1,2,102,453,3389
111,6,1,2,102,258,1948
842,2,1,2,102,396,2568
1572,4,1,2,102,462,3431
1208,4,1,3,103,455,3391
1573,5,1,3,103,534,4118
477,1,1,3,103,283,2180
843,3,1,3,103,557,3566
1938,6,1,3,103,321,2970
112,7,1,3,103,150,1742
844,4,1,4,104,590,3941
478,2,1,4,104,457,3587
113,1,1,4,104,223,1896
1209,5,1,4,104,432,3698
1939,7,1,4,104,226,2111
1574,6,1,4,104,437,3504
114,2,1,5,105,356,3033
479,3,1,5,105,512,3855
1940,1,1,5,105,274,2393
845,5,1,5,105,567,3841
1575,7,1,5,105,261,2308
1210,6,1,5,105,471,3511
846,6,1,6,106,526,3261
1576,1,1,6,106,398,2925
115,3,1,6,106,385,3445
1211,7,1,6,106,302,2279
1941,2,1,6,106,429,3704
480,4,1,6,106,501,3840
1577,2,1,7,107,550,4587
1942,3,1,7,107,423,3760
847,7,1,7,107,319,2241
116,4,1,7,107,393,3423
481,5,1,7,107,488,3735
1212,1,1,7,107,374,2822
482,6,1,8,108,426,3223
1943,4,1,8,108,442,3698
1578,3,1,8,108,597,4731
117,5,1,8,108,350,3319
1213,2,1,8,108,598,4240
848,1,1,8,108,373,2679
483,7,1,9,109,251,2207
1944,5,1,9,109,464,4243
1579,4,1,9,109,585,4831
118,6,1,9,109,278,2783
849,2,1,9,109,650,4182
1214,3,1,9,109,542,4319
1580,5,1,10,110,538,4162
119,7,1,10,110,174,1952
484,1,1,10,110,339,2814
1215,4,1,10,110,562,4224
850,3,1,10,110,648,4236
1945,6,1,10,110,372,3177
1216,5,1,11,111,501,3797
851,4,1,11,111,670,4628
1946,7,1,11,111,253,2361
1581,6,1,11,111,477,3726
485,2,1,11,111,532,4007
120,1,1,11,111,220,2245
121,2,1,12,112,393,3928
1947,1,1,12,112,277,2762
1217,6,1,12,112,435,3190
1582,7,1,12,112,309,2458
486,3,1,12,112,576,4119
852,5,1,12,112,622,4205
853,6,1,13,113,475,3459
487,4,1,13,113,533,4338
1948,2,1,13,113,515,4298
1583,1,1,13,113,386,3266
122,3,1,13,113,382,3810
1218,7,1,13,113,245,1998
488,5,1,14,114,544,4432
854,7,1,14,114,354,2448
123,4,1,14,114,427,3931
1949,3,1,14,114,434,3838
