instant,Day.Of.Week,Month,Day,Returning.Visits,target
1,1,9,14,152,2146
2,2,9,15,231,3621
3,3,9,16,278,3698
4,4,9,17,287,3667
5,5,9,18,236,3316
6,6,9,19,241,2815
7,7,9,20,133,1658
8,1,9,21,175,2288
9,2,9,22,274,3638
10,3,9,23,268,4462
11,4,9,24,284,4414
12,5,9,25,286,4315
13,6,9,26,216,3323
14,7,9,27,140,1656
15,1,9,28,193,2465
16,2,9,29,296,4096
17,3,9,30,312,4474
18,4,10,1,308,4124
19,5,10,2,250,3514
20,6,10,3,241,3005
21,7,10,4,162,2054
22,1,10,5,200,2847
23,2,10,6,328,4501
24,3,10,7,359,4603
25,4,10,8,351,4187
26,5,10,9,319,4343
27,6,10,10,282,3565
28,7,10,11,177,2080
29,1,10,12,233,3031
30,2,10,13,366,4814
31,3,10,14,387,5040
32,4,10,15,421,5028
33,5,10,16,376,4658
34,6,10,17,329,3624
35,7,10,18,203,2285
36,1,10,19,286,3454
37,2,10,20,409,5307
38,3,10,21,421,5135
39,4,10,22,434,5084
40,5,10,23,376,4650
41,6,10,24,328,3571
42,7,10,25,244,2354
43,1,10,26,290,3497
44,2,10,27,451,5294
45,3,10,28,423,4643
46,4,10,29,416,4596
47,5,10,30,384,4162
48,6,10,31,279,2933
49,7,11,1,226,2202
50,1,11,2,264,3083
51,2,11,3,428,4376
52,3,11,4,402,4704
53,4,11,5,403,4306
54,5,11,6,407,4178
55,6,11,7,343,3236
56,7,11,8,191,2010
57,1,11,9,292,2901
58,2,11,10,440,4754
59,3,11,11,410,4417
60,4,11,12,454,4535
61,5,11,13,436,4274
62,6,11,14,362,3382
63,7,11,15,208,2085
64,1,11,16,289,3083
65,2,11,17,490,4860
66,3,11,18,437,4893
67,4,11,19,488,4866
68,5,11,20,458,4584
69,6,11,21,389,3914
70,7,11,22,253,2431
71,1,11,23,287,3157
72,2,11,24,469,5045
73,3,11,25,415,4746
74,4,11,26,406,4314
75,5,11,27,314,3663
76,6,11,28,337,3270
77,7,11,29,281,2905
78,1,11,30,343,4016
79,2,12,1,560,5266
80,3,12,2,574,5795
81,4,12,3,561,5728
82,5,12,4,535,5293
83,6,12,5,377,3934
84,7,12,6,310,3071
85,1,12,7,402,3876
86,2,12,8,546,5878
87,3,12,9,552,5712
88,4,12,10,594,5491
89,5,12,11,554,5144
90,6,12,12,442,3880
91,7,12,13,300,2605
92,1,12,14,391,3625
93,2,12,15,478,4685
94,3,12,16,477,4891
95,4,12,17,447,4222
96,5,12,18,415,3691
97,6,12,19,320,2748
98,7,12,20,175,1380
99,1,12,21,178,1474
100,2,12,22,321,2452
101,3,12,23,281,2298
102,4,12,24,175,1430
103,5,12,25,145,1002
104,6,12,26,197,1486
105,7,12,27,160,1345
106,1,12,28,183,1453
107,2,12,29,244,2173
108,3,12,30,252,2208
109,4,12,31,182,1381
110,5,1,1,161,1265
111,6,1,2,258,1948
112,7,1,3,150,1742
113,1,1,4,223,1896
114,2,1,5,356,3033
115,3,1,6,385,3445
116,4,1,7,393,3423
117,5,1,8,350,3319
118,6,1,9,278,2783
119,7,1,10,174,1952
120,1,1,11,220,2245
121,2,1,12,393,3928
122,3,1,13,382,3810
123,4,1,14,427,3931
124,5,1,15,388,3523
125,6,1,16,288,2943
126,7,1,17,185,1751
127,1,1,18,221,2491
128,2,1,19,394,3766
129,3,1,20,429,4194
130,4,1,21,434,4038
131,5,1,22,368,3891
132,6,1,23,284,3111
133,7,1,24,175,1946
134,1,1,25,270,2802
135,2,1,26,375,3892
136,3,1,27,411,4172
137,4,1,28,418,4464
138,5,1,29,464,4377
139,6,1,30,385,3734
140,7,1,31,214,2262
141,1,2,1,297,3050
142,2,2,2,499,4794
143,3,2,3,501,4936
144,4,2,4,477,5016
145,5,2,5,417,4489
146,6,2,6,393,3505
147,7,2,7,242,2264
148,1,2,8,335,3314
149,2,2,9,494,5095
150,3,2,10,521,5525
151,4,2,11,499,5074
152,5,2,12,509,4571
153,6,2,13,411,3570
154,7,2,14,242,2182
155,1,2,15,342,3265
156,2,2,16,471,4670
157,3,2,17,495,4764
158,4,2,18,500,4943
159,5,2,19,496,4790
160,6,2,20,380,3604
161,7,2,21,254,2455
162,1,2,22,361,3650
163,2,2,23,542,5463
164,3,2,24,570,5884
165,4,2,25,587,5615
166,5,2,26,561,5289
167,6,2,27,483,4434
168,7,2,28,283,2665
169,1,3,1,387,3907
170,2,3,2,556,5308
171,3,3,3,535,5773
172,4,3,4,603,5585
173,5,3,5,533,4783
174,6,3,6,448,3893
175,7,3,7,325,2917
176,1,3,8,364,3353
177,2,3,9,578,5400
178,3,3,10,576,5395
179,4,3,11,596,5229
180,5,3,12,580,5371
181,6,3,13,486,4185
182,7,3,14,313,2724
183,1,3,15,424,3590
184,2,3,16,579,5367
185,3,3,17,581,5440
186,4,3,18,585,5465
187,5,3,19,551,5318
188,6,3,20,454,4225
189,7,3,21,308,2687
190,1,3,22,398,3791
191,2,3,23,618,5661
192,3,3,24,594,5759
193,4,3,25,605,5599
194,5,3,26,571,5103
195,6,3,27,500,4313
196,7,3,28,360,2971
197,1,3,29,408,3662
198,2,3,30,599,5635
199,3,3,31,604,5581
200,4,4,1,591,5329
201,5,4,2,504,4553
202,6,4,3,416,3423
203,7,4,4,295,2708
204,1,4,5,371,3306
205,2,4,6,559,5203
206,3,4,7,648,5712
207,4,4,8,614,5601
208,5,4,9,633,5486
209,6,4,10,516,4178
210,7,4,11,318,2878
211,1,4,12,456,4169
212,2,4,13,698,6372
213,3,4,14,693,6240
214,4,4,15,686,6170
215,5,4,16,689,6071
216,6,4,17,566,4682
217,7,4,18,397,3208
218,1,4,19,475,4310
219,2,4,20,765,6435
220,3,4,21,686,6299
221,4,4,22,715,6360
222,5,4,23,696,6349
223,6,4,24,542,4660
224,7,4,25,385,3354
225,1,4,26,501,4371
226,2,4,27,754,6534
227,3,4,28,780,6832
228,4,4,29,760,6689
229,5,4,30,636,5849
230,6,5,1,502,4247
231,7,5,2,402,3219
232,1,5,3,445,4211
233,2,5,4,709,6424
234,3,5,5,702,6223
235,4,5,6,709,6551
236,5,5,7,679,6343
237,6,5,8,542,4696
238,7,5,9,393,3134
239,1,5,10,479,3868
240,2,5,11,695,6020
241,3,5,12,670,5705
242,4,5,13,668,5752
243,5,5,14,597,5181
244,6,5,15,509,4269
245,7,5,16,345,2633
246,1,5,17,388,3336
247,2,5,18,632,5127
248,3,5,19,618,5449
249,4,5,20,585,5746
250,5,5,21,596,5115
251,6,5,22,506,3995
252,7,5,23,299,2618
253,1,5,24,354,2961
254,2,5,25,486,4090
255,3,5,26,564,5201
256,4,5,27,651,5321
