instant,Day.Of.Week,Month,Day,Month/Day,Returning.Visits,target
1,1,9,14,914,152,2146
2,2,9,15,915,231,3621
3,3,9,16,916,278,3698
4,4,9,17,917,287,3667
5,5,9,18,918,236,3316
6,6,9,19,919,241,2815
7,7,9,20,920,133,1658
8,1,9,21,921,175,2288
9,2,9,22,922,274,3638
10,3,9,23,923,268,4462
11,4,9,24,924,284,4414
12,5,9,25,925,286,4315
13,6,9,26,926,216,3323
14,7,9,27,927,140,1656
15,1,9,28,928,193,2465
16,2,9,29,929,296,4096
17,3,9,30,930,312,4474
18,4,10,1,1001,308,4124
19,5,10,2,1002,250,3514
20,6,10,3,1003,241,3005
21,7,10,4,1004,162,2054
22,1,10,5,1005,200,2847
23,2,10,6,1006,328,4501
24,3,10,7,1007,359,4603
25,4,10,8,1008,351,4187
26,5,10,9,1009,319,4343
27,6,10,10,1010,282,3565
28,7,10,11,1011,177,2080
29,1,10,12,1012,233,3031
30,2,10,13,1013,366,4814
31,3,10,14,1014,387,5040
32,4,10,15,1015,421,5028
33,5,10,16,1016,376,4658
34,6,10,17,1017,329,3624
35,7,10,18,1018,203,2285
36,1,10,19,1019,286,3454
37,2,10,20,1020,409,5307
38,3,10,21,1021,421,5135
39,4,10,22,1022,434,5084
40,5,10,23,1023,376,4650
41,6,10,24,1024,328,3571
42,7,10,25,1025,244,2354
43,1,10,26,1026,290,3497
44,2,10,27,1027,451,5294
45,3,10,28,1028,423,4643
46,4,10,29,1029,416,4596
47,5,10,30,1030,384,4162
48,6,10,31,1031,279,2933
49,7,11,1,1101,226,2202
50,1,11,2,1102,264,3083
51,2,11,3,1103,428,4376
52,3,11,4,1104,402,4704
53,4,11,5,1105,403,4306
54,5,11,6,1106,407,4178
55,6,11,7,1107,343,3236
56,7,11,8,1108,191,2010
57,1,11,9,1109,292,2901
58,2,11,10,1110,440,4754
59,3,11,11,1111,410,4417
60,4,11,12,1112,454,4535
61,5,11,13,1113,436,4274
62,6,11,14,1114,362,3382
63,7,11,15,1115,208,2085
64,1,11,16,1116,289,3083
65,2,11,17,1117,490,4860
66,3,11,18,1118,437,4893
67,4,11,19,1119,488,4866
68,5,11,20,1120,458,4584
69,6,11,21,1121,389,3914
70,7,11,22,1122,253,2431
71,1,11,23,1123,287,3157
72,2,11,24,1124,469,5045
73,3,11,25,1125,415,4746
74,4,11,26,1126,406,4314
75,5,11,27,1127,314,3663
76,6,11,28,1128,337,3270
77,7,11,29,1129,281,2905
78,1,11,30,1130,343,4016
79,2,12,1,1201,560,5266
80,3,12,2,1202,574,5795
81,4,12,3,1203,561,5728
82,5,12,4,1204,535,5293
83,6,12,5,1205,377,3934
84,7,12,6,1206,310,3071
85,1,12,7,1207,402,3876
86,2,12,8,1208,546,5878
87,3,12,9,1209,552,5712
88,4,12,10,1210,594,5491
89,5,12,11,1211,554,5144
90,6,12,12,1212,442,3880
91,7,12,13,1213,300,2605
92,1,12,14,1214,391,3625
93,2,12,15,1215,478,4685
94,3,12,16,1216,477,4891
95,4,12,17,1217,447,4222
96,5,12,18,1218,415,3691
97,6,12,19,1219,320,2748
98,7,12,20,1220,175,1380
99,1,12,21,1221,178,1474
100,2,12,22,1222,321,2452
101,3,12,23,1223,281,2298
102,4,12,24,1224,175,1430
103,5,12,25,1225,145,1002
104,6,12,26,1226,197,1486
105,7,12,27,1227,160,1345
106,1,12,28,1228,183,1453
107,2,12,29,1229,244,2173
108,3,12,30,1230,252,2208
109,4,12,31,1231,182,1381
110,5,1,1,101,161,1265
111,6,1,2,102,258,1948
112,7,1,3,103,150,1742
