instant,class code,largest spot code,spot dist code,Activity,Evolution,Previous 24 hour code,Historically-complex,become complex,Area,Area of the largest spot,target
0,1,4,2,1,3.0,1.0,1,2,1,1,0
1,1,4,2,2,3.0,1.0,1,2,1,1,0
2,5,4,3,1,2.0,1.0,1,1,1,1,1
3,1,3,2,1,2.0,1.0,2,2,1,1,0
4,5,4,3,1,3.0,1.0,1,2,1,1,0
5,5,4,3,1,2.0,1.0,1,2,1,1,0
6,2,3,2,1,3.0,1.0,1,2,1,1,1
7,3,0,1,1,2.0,1.0,2,2,1,1,1
8,5,0,3,1,3.0,1.0,1,2,1,1,0
9,1,4,2,2,3.0,3.0,1,2,1,1,0
10,1,3,2,1,2.0,1.0,1,2,1,1,0
11,2,0,1,1,2.0,1.0,1,2,1,1,0
12,2,3,1,1,3.0,1.0,1,2,1,1,0
13,1,3,2,1,3.0,1.0,1,2,1,1,0
14,0,5,1,1,3.0,1.0,1,2,1,1,0
15,2,3,2,1,3.0,1.0,1,2,1,1,0
16,0,5,2,1,3.0,1.0,1,2,1,1,0
17,2,3,2,1,3.0,1.0,1,2,1,1,0
18,2,3,1,2,3.0,2.0,2,2,1,1,0
19,5,3,3,2,2.0,1.0,2,2,1,1,0
20,5,4,3,1,2.0,1.0,1,2,1,1,0
21,2,0,1,1,3.0,1.0,2,2,1,1,0
22,0,5,2,1,2.0,1.0,1,2,1,1,0
23,5,4,3,1,3.0,1.0,2,2,1,1,0
24,5,4,3,1,2.0,1.0,2,2,1,1,0
25,2,4,1,1,3.0,1.0,2,2,1,1,0
26,5,4,3,1,2.0,1.0,1,1,1,1,1
27,5,4,3,1,2.0,1.0,1,2,1,1,0
28,0,5,2,1,3.0,1.0,1,2,1,1,0
29,0,5,2,1,2.0,1.0,1,2,1,1,0
30,3,2,0,2,2.0,3.0,2,2,2,1,0
31,3,4,2,1,3.0,1.0,1,2,1,1,1
32,5,3,3,1,3.0,1.0,1,2,1,1,0
33,0,5,2,1,1.0,1.0,2,2,1,1,0
34,3,0,2,1,3.0,1.0,2,2,1,1,0
35,0,5,2,1,3.0,1.0,1,2,1,1,0
36,2,0,1,1,3.0,1.0,1,2,1,1,1
37,2,3,2,1,3.0,1.0,1,2,1,1,0
38,1,4,1,1,3.0,1.0,1,2,1,1,0
39,0,5,2,1,1.0,1.0,1,2,1,1,0
40,5,4,3,1,2.0,1.0,2,1,1,1,0
41,1,3,1,1,3.0,1.0,1,2,1,1,0
42,0,5,2,1,2.0,1.0,1,2,1,1,0
43,3,3,0,2,3.0,1.0,1,2,1,1,0
44,5,3,3,1,2.0,1.0,1,1,1,1,0
45,2,0,1,1,3.0,1.0,1,2,1,1,0
46,5,3,3,1,1.0,1.0,2,2,1,1,0
47,2,2,1,2,3.0,1.0,2,2,1,1,1
48,1,3,2,1,3.0,1.0,1,2,1,1,0
49,1,3,2,1,3.0,1.0,1,2,1,1,0
50,5,4,3,1,2.0,1.0,2,1,1,1,0
51,5,4,3,1,3.0,1.0,2,2,1,1,0
52,5,0,3,1,3.0,1.0,2,1,1,1,0
53,2,4,2,2,3.0,1.0,2,2,1,1,1
54,0,5,2,1,3.0,1.0,1,2,1,1,0
55,1,4,2,1,2.0,1.0,1,2,1,1,0
56,3,0,1,1,3.0,1.0,2,2,1,1,0
57,5,0,3,1,2.0,1.0,2,1,1,1,0
58,0,5,2,1,3.0,1.0,1,2,1,1,0
59,2,2,1,2,3.0,1.0,2,2,1,1,0
60,2,0,1,1,3.0,1.0,1,2,1,1,0
61,4,4,1,2,2.0,1.0,2,2,1,1,0
62,5,1,3,1,3.0,1.0,2,1,1,1,0
63,1,4,2,1,2.0,1.0,2,2,1,1,0
64,2,0,2,2,3.0,1.0,1,2,1,1,0
65,3,1,2,2,2.0,2.0,2,2,1,1,0
66,5,4,3,1,2.0,1.0,1,1,1,1,0
67,0,5,1,1,3.0,1.0,1,2,1,1,0
68,3,4,1,1,3.0,1.0,1,2,1,1,0
69,2,0,1,1,3.0,1.0,1,2,1,1,0
70,5,4,3,1,2.0,1.0,1,2,1,1,0
71,2,3,0,2,3.0,1.0,1,2,1,1,1
72,5,4,3,2,2.0,1.0,1,1,1,1,1
73,1,4,2,1,1.0,1.0,1,2,1,1,0
74,1,4,2,1,2.0,1.0,1,2,1,1,0
75,5,4,3,1,2.0,1.0,1,1,1,1,0
76,2,3,2,1,3.0,1.0,1,2,1,1,0
77,3,4,1,2,2.0,1.0,2,2,1,1,1
78,3,4,2,1,2.0,1.0,1,2,1,1,1
79,1,3,2,1,2.0,1.0,2,2,1,1,0
80,1,3,2,1,2.0,1.0,2,2,1,1,1
81,0,5,2,1,2.0,1.0,1,2,1,1,0
82,3,0,1,2,3.0,3.0,2,2,1,1,1
83,5,4,3,1,2.0,1.0,1,2,1,1,0
84,0,5,2,1,2.0,1.0,1,2,1,1,0
85,5,4,3,1,2.0,1.0,1,1,1,1,0
86,0,5,2,1,1.0,1.0,2,2,1,1,0
87,3,0,1,1,2.0,1.0,2,2,1,1,0
