instant,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,target
0,0,47.3,15.3,222.0,5250.0,1.0,2007,2
1,0,49.9,16.1,213.0,5400.0,1.0,2009,2
2,1,37.6,19.3,181.0,3300.0,0.0,2007,0
3,0,36.4,17.1,184.0,2850.0,0.0,2008,0
4,2,41.1,18.6,189.0,3325.0,1.0,2009,0
5,0,41.6,18.0,192.0,3950.0,1.0,2008,0
6,0,43.2,14.5,208.0,4450.0,0.0,2008,2
7,1,35.6,17.5,191.0,3175.0,0.0,2009,0
8,1,42.4,17.3,181.0,3600.0,0.0,2007,1
9,0,52.1,17.0,230.0,5550.0,1.0,2009,2
10,0,47.2,13.7,214.0,4925.0,0.0,2009,2
11,0,39.0,17.5,186.0,3550.0,0.0,2008,0
12,0,50.0,15.3,220.0,5550.0,1.0,2007,2
13,1,38.8,20.0,190.0,3950.0,1.0,2007,0
14,1,50.9,19.1,196.0,3550.0,1.0,2008,1
15,2,38.8,17.6,191.0,3275.0,0.0,2009,0
16,1,48.1,16.4,199.0,3325.0,0.0,2009,1
17,1,50.5,18.4,200.0,3400.0,0.0,2008,1
18,0,50.8,15.7,226.0,5200.0,1.0,2009,2
19,1,50.9,17.9,196.0,3675.0,0.0,2009,1
20,0,38.1,16.5,198.0,3825.0,0.0,2009,0
21,1,39.5,16.7,178.0,3250.0,0.0,2007,0
22,1,51.7,20.3,194.0,3775.0,1.0,2007,1
23,0,54.3,15.7,231.0,5650.0,1.0,2008,2
24,0,45.5,14.5,212.0,4750.0,0.0,2009,2
25,0,37.7,16.0,183.0,3075.0,0.0,2009,0
26,0,49.1,14.5,212.0,4625.0,0.0,2009,2
28,1,39.2,18.6,190.0,4250.0,1.0,2009,0
29,2,40.3,18.0,195.0,3250.0,0.0,2007,0
30,0,44.4,17.3,219.0,5250.0,1.0,2008,2
31,0,50.0,16.3,230.0,5700.0,1.0,2007,2
32,0,50.5,15.9,225.0,5400.0,1.0,2008,2
33,2,38.9,17.8,181.0,3625.0,0.0,2007,0
34,1,49.0,19.5,210.0,3950.0,1.0,2008,1
35,1,51.0,18.8,203.0,4100.0,1.0,2008,1
36,0,38.2,18.1,185.0,3950.0,1.0,2007,0
37,1,50.8,18.5,201.0,4450.0,1.0,2009,1
38,1,50.6,19.4,193.0,3800.0,1.0,2007,1
39,2,39.2,19.6,195.0,4675.0,1.0,2007,0
41,1,39.6,18.8,190.0,4600.0,1.0,2007,0
42,1,52.7,19.8,197.0,3725.0,1.0,2007,1
43,1,45.9,17.1,190.0,3575.0,0.0,2007,1
44,0,45.5,13.7,214.0,4650.0,0.0,2007,2
45,2,38.5,17.9,190.0,3325.0,0.0,2009,0
46,2,42.5,20.7,197.0,4500.0,1.0,2007,0
47,0,45.1,14.5,207.0,5050.0,0.0,2007,2
48,1,40.8,18.4,195.0,3900.0,1.0,2007,0
49,0,50.0,15.2,218.0,5700.0,1.0,2007,2
50,0,46.8,15.4,215.0,5150.0,1.0,2007,2
51,0,44.5,14.7,214.0,4850.0,0.0,2009,2
52,0,38.2,20.0,190.0,3900.0,1.0,2009,0
53,0,46.3,15.8,215.0,5050.0,1.0,2007,2
54,1,51.3,19.9,198.0,3700.0,1.0,2007,1
55,0,39.7,17.7,193.0,3200.0,0.0,2009,0
56,0,49.5,16.1,224.0,5650.0,1.0,2009,2
57,1,45.4,18.7,188.0,3525.0,0.0,2007,1
