method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,0,623315.580670261,3463758.7053491552,5.3882598876953125e-05,0.15030956268310547,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,1,623315.580670261,3463758.7053491552,5.2928924560546875e-05,0.11127138137817383,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,2,623315.580670261,3463758.7053491552,5.0067901611328125e-05,0.12168049812316895,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,3,623315.580670261,3463758.7053491552,5.507469177246094e-05,0.11602520942687988,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,4,623315.580670261,3463758.7053491552,4.9114227294921875e-05,0.11114382743835449,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,5,623315.580670261,3463758.7053491552,5.078315734863281e-05,0.12362408638000488,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,6,623315.580670261,3463758.7053491552,5.5789947509765625e-05,0.13180232048034668,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,7,623315.580670261,3463758.7053491552,4.744529724121094e-05,0.12652063369750977,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,8,623315.580670261,3463758.7053491552,5.125999450683594e-05,0.12302947044372559,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,9,623315.580670261,3463758.7053491552,4.172325134277344e-05,0.10345673561096191,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,10,623315.580670261,3463758.7053491552,4.744529724121094e-05,0.19703245162963867,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,11,623315.580670261,3463758.7053491552,5.078315734863281e-05,0.12026619911193848,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,12,623315.580670261,3463758.7053491552,5.173683166503906e-05,0.1198735237121582,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,14,623315.580670261,3463758.7053491552,3.457069396972656e-05,0.11578822135925293,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,13,623315.580670261,3463758.7053491552,5.316734313964844e-05,0.12244725227355957,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,15,623315.580670261,3463758.7053491552,5.650520324707031e-05,0.20270395278930664,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,16,623315.580670261,3463758.7053491552,4.6253204345703125e-05,0.12281107902526855,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,17,623315.580670261,3463758.7053491552,5.269050598144531e-05,0.10290312767028809,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,18,623315.580670261,3463758.7053491552,4.792213439941406e-05,0.12900876998901367,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,19,623315.580670261,3463758.7053491552,4.839897155761719e-05,0.15830302238464355,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,20,623315.580670261,3463758.7053491552,3.2901763916015625e-05,0.10484695434570312,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,21,623315.580670261,3463758.7053491552,4.744529724121094e-05,0.08873724937438965,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,23,623315.580670261,3463758.7053491552,3.695487976074219e-05,0.10354304313659668,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,22,623315.580670261,3463758.7053491552,5.4836273193359375e-05,0.15816450119018555,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,24,623315.580670261,3463758.7053491552,5.7697296142578125e-05,0.1148979663848877,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,25,623315.580670261,3463758.7053491552,4.9591064453125e-05,0.12435078620910645,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,27,623315.580670261,3463758.7053491552,5.221366882324219e-05,0.10597944259643555,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,26,623315.580670261,3463758.7053491552,5.3882598876953125e-05,0.1483750343322754,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,28,623315.580670261,3463758.7053491552,5.1975250244140625e-05,0.1880807876586914,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,29,623315.580670261,3463758.7053491552,5.626678466796875e-05,0.15066957473754883,[]
