fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
414015.2200898613,10,2536,1,28.353168964385986,6,439199.81137489603
414015.2200898613,10,2536,2,73.60378527641296,6,439199.81137489603
403414.1630904411,10,1907,3,137.2738742828369,6,434790.8290035368
390580.48002250533,10,2332,4,220.97341513633728,6,483484.4028487708
389833.03597467893,10,1907,5,327.8591220378876,6,397389.98959634017
377600.0451812374,10,2332,6,458.04624104499817,6,483484.4028487708
377600.0451812374,10,2332,7,609.3858346939087,6,546963.08631525
377600.0451812374,10,2332,8,782.5311787128448,6,546963.08631525
377600.0451812374,10,2332,9,977.6831815242767,6,520400.2607800848
367350.1142480134,10,2714,10,1197.0640003681183,6,397351.3217148062
367350.1142480134,10,2714,11,1439.008040189743,6,385203.54633424414
367350.1142480134,10,2714,12,1704.6605551242828,6,404085.4055233246
362020.76452908135,10,2626,13,1994.4855732917786,6,397351.3217148062
361962.0411499963,10,2622,14,2309.4860694408417,6,351364.8707019756
360504.09232641576,10,2391,15,2650.430193901062,6,397351.3217148062
353161.0401885224,10,2626,16,3016.0942599773407,6,392906.9954745469
353161.0401885224,10,2626,17,3406.3013231754303,6,392906.9954745469
350840.9628642112,10,2646,18,3820.6590287685394,6,413582.5062269977
345652.9795740563,10,2832,19,4259.630323648453,6,413582.5062269977
345652.9795740563,10,2832,20,4722.810167789459,6,413582.5062269977
343700.1767237348,10,2564,21,5209.834053993225,6,380760.493821519
343700.1767237348,10,2564,22,5720.269882440567,6,382612.4145865463
343700.1767237348,10,2564,23,6254.466885089874,6,380760.493821519
338512.1934335798,10,2760,24,6811.812090873718,6,380760.493821519
338512.1934335798,10,2760,25,7392.44710111618,6,380760.493821519
338512.1934335798,10,2760,26,7996.776805877686,6,380760.493821519
334529.5971412706,10,3118,27,8625.61577963829,6,378264.85656901257
334529.5971412706,10,3118,28,9279.803058624268,6,445632.19610088365
334529.5971412706,10,3118,29,9959.288654088974,6,445632.19610088365
334529.5971412706,10,3118,30,10663.938213825226,6,487140.3462869553
334529.5971412706,10,3118,31,11393.731189012527,6,487140.3462869553
334529.5971412706,10,3118,32,12148.775704145432,6,487140.3462869553
334529.5971412706,10,3118,33,12929.237709522247,6,487140.3462869553
334529.5971412706,10,3118,34,13734.660380363464,6,487140.3462869553
334529.5971412706,10,3118,35,14565.709268331528,6,487140.3462869553
334529.5971412706,10,3118,36,15421.717140674591,6,487140.3462869553
334529.5971412706,10,3118,37,16303.403327703476,6,487140.3462869553
332759.6446914986,10,2832,38,17210.26077079773,6,378264.85656901257
332759.6446914986,10,2832,39,18142.703340768814,6,378264.85656901257
332759.6446914986,10,2832,40,19100.52498793602,6,378264.85656901257
332759.6446914986,10,2832,41,20084.435968875885,6,369232.5452129869
330056.0720675033,10,3244,42,21094.44975066185,6,395974.0812957885
330056.0720675033,10,3244,43,22131.20050764084,6,395974.0812957885
330056.0720675033,10,3244,44,23194.58180999756,6,433143.651718801
328139.53334146016,10,2696,45,24285.04596209526,6,378264.85656901257
328139.53334146016,10,2696,46,25402.195219755173,6,382612.4145865463
328139.53334146016,10,2696,47,26545.840276002884,6,382612.4145865463
328139.53334146016,10,2696,48,27714.919407844543,6,382612.4145865463
326785.924152463,10,2418,49,28908.604610919952,6,393766.99797785486
326785.924152463,10,2418,50,30125.8340780735,6,393766.99797785486
326785.924152463,10,2418,51,31366.260546207428,6,393766.99797785486
326785.924152463,10,2418,52,32629.285614967346,6,424578.88879409694
326785.924152463,10,2418,53,33914.030495643616,6,424578.88879409694
326785.924152463,10,2418,54,35219.734478235245,6,491600.5865484698
326785.924152463,10,2418,55,36546.42813181877,6,433035.7656776729
326785.924152463,10,2418,56,37894.45857524872,6,433035.7656776729
326785.924152463,10,2418,57,39263.56995820999,6,433035.7656776729
326785.924152463,10,2418,58,40653.80695819855,6,421164.55299580545
325501.63442059216,10,2418,59,42065.2208108902,6,410999.97083286865
324373.5238016551,10,2446,60,43498.04318904877,6,375233.1612553194
324373.5238016551,10,2446,61,44951.726841688156,6,375054.82353908784
324373.5238016551,10,2446,62,46426.96293759346,6,375054.82353908784
324373.5238016551,10,2446,63,47923.67307758331,6,375054.82353908784
324373.5238016551,10,2446,64,49441.7009139061,6,386296.28175759676
324373.5238016551,10,2446,65,50981.264291763306,6,386296.28175759676
324373.5238016551,10,2446,66,52541.70163631439,6,386296.28175759676
324373.5238016551,10,2446,67,54123.05049037933,6,387511.14632954577
324373.5238016551,10,2446,68,55725.277930021286,6,452994.9196090955
324373.5238016551,10,2446,69,57348.70739746094,6,452994.9196090955
324373.5238016551,10,2446,70,58993.0548927784,6,400712.833381762
324373.5238016551,10,2446,71,60658.93958854675,6,400712.833381762
324373.5238016551,10,2446,72,62346.11172890663,6,438713.23129113595
324373.5238016551,10,2446,73,64055.71712803841,6,443252.2731638047
324373.5238016551,10,2446,74,65787.68666529655,6,440049.50165763317
324373.5238016551,10,2446,75,67542.47497844696,6,415715.7672522113
324373.5238016551,10,2446,76,69320.03557777405,6,415715.7672522113
324373.5238016551,10,2446,77,71120.37335038185,6,415715.7672522113
324373.5238016551,10,2446,78,72942.9530813694,6,415715.7672522113
324373.5238016551,10,2446,79,74787.96474480629,6,445533.4360535045
324373.5238016551,10,2446,80,76655.4772143364,6,454379.2667720779
323170.0748300935,10,2512,81,78545.87315773964,6,400113.71412219194
323170.0748300935,10,2512,82,80459.0820248127,6,380551.1478632894
323170.0748300935,10,2512,83,82394.83066415787,6,380551.1478632894
321885.78509822267,10,2920,84,84353.83928394318,6,400113.71412219194
321885.78509822267,10,2920,85,86336.59258055687,6,400113.71412219194
321885.78509822267,10,2920,86,88343.0116455555,6,400113.71412219194
321885.78509822267,10,2920,87,90373.53742480278,6,322826.2660978633
