fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
368208.03227249795,10,732,1,445.7815661430359,12,413611.4191120469
348091.6607286332,10,331,2,1163.7441971302032,12,470290.62012544146
348091.6607286332,10,331,3,2145.5080513954163,12,470290.62012544146
328597.82846671727,10,627,4,3402.081079483032,12,470290.62012544146
320004.2026194671,10,530,5,4945.635014772415,12,437021.104775914
320004.2026194671,10,530,6,6691.167647123337,12,437021.104775914
320004.2026194671,10,530,7,8577.496330022812,12,437021.104775914
316718.4846694362,10,692,8,10633.00632405281,12,466917.87157417217
316718.4846694362,10,692,9,12920.713411569595,12,461516.1924536321
314766.83542503626,10,530,10,15458.332423448563,12,437021.104775914
314766.83542503626,10,530,11,18258.219969272614,12,437198.8811570822
311567.34095292893,10,747,12,21323.806824207306,12,437521.9071181821
311488.8042052808,10,661,13,24657.616398096085,12,442253.4295806564
311488.8042052808,10,661,14,28258.649821281433,12,392364.97265777556
308397.60072560195,10,661,15,32133.442226171494,12,385072.22925793537
308397.60072560195,10,661,16,36293.02490568161,12,421724.0545440722
308397.60072560195,10,661,17,40734.97809433937,12,421724.0545440722
308397.60072560195,10,661,18,45452.80592560768,12,491596.5416913761
304709.6837460585,10,682,19,50451.0168697834,12,428672.87449112
289019.89943082316,10,829,20,55733.76676940918,12,409532.6457569338
289019.89943082316,10,829,21,61307.11134529114,12,442836.24923403864
284328.77307580377,10,678,22,67174.5442044735,12,486571.9050922847
284328.77307580377,10,678,23,73327.74278140068,12,486571.9050922847
284313.83491527446,10,678,24,79745.18315958977,12,495770.61550643196
283674.2396252053,10,678,25,86419.09041404724,12,440929.3182068528
280816.42944910406,10,631,26,93352.81012010574,12,486571.9050922847
279810.9927758542,10,684,27,100553.66725182533,12,460910.92322473676
279810.9927758542,10,684,28,108024.67981290817,12,452790.7216583488
278620.953094723,10,732,29,115755.325091362,12,480947.4194781529
277306.7914360349,10,596,30,123728.4707159996,12,467106.2096058541
277306.7914360349,10,596,31,131931.6841931343,12,430631.11432770564
273524.1182111989,10,680,32,140359.74461507797,12,492656.9096065067
271325.93624318735,10,1012,33,148999.6040043831,12,494056.01589531824
271325.93624318735,10,1012,34,157861.01962566376,12,494056.01589531824
269907.80962872575,10,916,35,166963.362033844,12,494056.01589531824
269817.89371965366,10,938,36,176318.38902568817,12,457200.92631796486
266659.49950165994,10,1012,37,185933.17401695251,12,446485.75419368036
266659.49950165994,10,1012,38,195803.44201421738,12,418793.98795439635
266659.49950165994,10,1012,39,205935.2255575657,12,418793.98795439635
266659.49950165994,10,1012,40,216325.9882121086,12,316076.21195015614
266659.49950165994,10,1012,41,226966.94281339645,12,388269.00126776146
266659.49950165994,10,1012,42,237844.57892608643,12,388269.00126776146
