fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
389950.1019367086,10,923,1,3.460785388946533,12,525144.344743014
389365.8424415987,10,923,2,10.228915691375732,12,527277.9146005227
364480.81262904423,10,1478,3,18.92408847808838,12,489415.2706550065
361949.97886516823,10,1478,4,29.499752044677734,12,494958.0884547841
361949.97886516823,10,1478,5,42.0770468711853,12,549965.8834783433
361949.97886516823,10,1478,6,56.673481464385986,12,439924.3794454634
361949.97886516823,10,1478,7,73.36214423179626,12,445390.2868804693
360556.90200544073,10,1355,8,92.0920135974884,12,518452.40803657187
358026.06824156473,10,1276,9,112.92313575744629,12,568911.7604647072
358026.06824156473,10,1276,10,135.8511881828308,12,407910.56690859015
355533.18934880896,10,1332,11,160.89066100120544,12,568911.7604647072
355533.18934880896,10,1332,12,189.42310404777527,12,550255.7452329728
355533.18934880896,10,1332,13,220.18733429908752,12,550255.7452329728
355533.18934880896,10,1332,14,253.1743564605713,12,569374.4211852333
348504.4363646902,10,1270,15,288.7726616859436,12,507629.0451931319
348504.4363646902,10,1270,16,326.71169781684875,12,507629.0451931319
348504.4363646902,10,1270,17,366.8577809333801,12,554749.9540382725
348504.4363646902,10,1270,18,409.44501781463623,12,578929.9313151519
348504.4363646902,10,1270,19,454.29556035995483,12,578929.9313151519
348504.4363646902,10,1270,20,501.39139580726624,12,578268.0563034836
347684.8806166023,10,1500,21,550.9190485477448,12,510919.55263663176
347684.8806166023,10,1500,22,602.768632888794,12,487354.2910840222
347684.8806166023,10,1500,23,656.8677983283997,12,481742.5227476531
347684.8806166023,10,1500,24,713.5059671401978,12,481742.5227476531
347684.8806166023,10,1500,25,772.4056429862976,12,506982.0327224515
342532.6400266685,10,1624,26,833.6374757289886,12,429777.6567070787
342532.6400266685,10,1624,27,897.3939414024353,12,429777.6567070787
338335.2342818843,10,1386,28,963.4390919208527,12,402306.69606066134
338335.2342818843,10,1386,29,1031.795606136322,12,402306.69606066134
338335.2342818843,10,1386,30,1102.5062515735626,12,411609.4864008216
335308.76146043395,10,1386,31,1175.7373678684235,12,374309.7602911181
335308.76146043395,10,1386,32,1251.2293305397034,12,388769.99934309965
335308.76146043395,10,1386,33,1328.994003534317,12,388769.99934309965
332924.3267008506,10,1315,34,1409.20889210701,12,357128.6718801873
332924.3267008506,10,1315,35,1491.6072833538055,12,366278.4305997584
332924.3267008506,10,1315,36,1576.24170255661,12,376247.9115594872
332114.9709259376,10,1798,37,1663.0516166687012,12,368143.9412212855
329730.53616635426,10,2154,38,1752.4929475784302,12,359296.1045825144
329730.53616635426,10,2154,39,1844.5985159873962,12,364642.99879368645
329730.53616635426,10,2154,40,1939.5186898708344,12,364642.99879368645
329730.53616635426,10,2154,41,2037.265973329544,12,364642.99879368645
329730.53616635426,10,2154,42,2138.0191266536713,12,364642.99879368645
329730.53616635426,10,2154,43,2241.947973012924,12,384627.0498375582
327919.9333936547,10,1997,44,2348.7713708877563,12,359296.1045825144
327919.9333936547,10,1997,45,2458.527986764908,12,359296.1045825144
327919.9333936547,10,1997,46,2570.1802299022675,12,359296.1045825144
327919.9333936547,10,1997,47,2683.9438314437866,12,493314.0254132523
327919.9333936547,10,1997,48,2799.481163263321,12,525266.6283948264
327919.9333936547,10,1997,49,2916.882306575775,12,525266.6283948264
327019.48158714036,10,1859,50,3036.00141954422,12,359296.1045825144
325122.26412383193,10,1859,51,3157.1993107795715,12,375513.501984409
325122.26412383193,10,1859,52,3280.1543056964874,12,452771.62947470485
325122.26412383193,10,1859,53,3405.1030225753784,12,452771.62947470485
323460.1632439176,10,1978,54,3531.9460237026215,12,391734.7869277948
323460.1632439176,10,1978,55,3660.7000613212585,12,391734.7869277948
323460.1632439176,10,1978,56,3791.2019975185394,12,391734.7869277948
323460.1632439176,10,1978,57,3923.424037694931,12,391734.7869277948
323460.1632439176,10,1978,58,4057.382152557373,12,453456.995926104
323460.1632439176,10,1978,59,4193.264536619186,12,453456.995926104
318185.54381343996,10,1978,60,4330.92068195343,12,341126.3941437973
318185.54381343996,10,1978,61,4470.3859667778015,12,341126.3941437973
318185.54381343996,10,1978,62,4611.637554168701,12,341370.5700767447
318185.54381343996,10,1978,63,4754.869347572327,12,361346.19952889555
318185.54381343996,10,1978,64,4899.943554162979,12,404062.9598658718
318185.54381343996,10,1978,65,5046.83854341507,12,404062.9598658718
318185.54381343996,10,1978,66,5195.9378163814545,12,449235.5176735833
318185.54381343996,10,1978,67,5347.029867649078,12,449235.5176735833
318185.54381343996,10,1978,68,5500.805861949921,12,449235.5176735833
318185.54381343996,10,1978,69,5657.547170639038,12,449235.5176735833
318185.54381343996,10,1978,70,5817.041085958481,12,449235.5176735833
318185.54381343996,10,1978,71,5979.278843641281,12,449235.5176735833
318185.54381343996,10,1978,72,6144.223590135574,12,449235.5176735833
318185.54381343996,10,1978,73,6311.684798717499,12,449235.5176735833
318185.54381343996,10,1978,74,6480.87948012352,12,449235.5176735833
318185.54381343996,10,1978,75,6651.794200897217,12,449235.5176735833
318185.54381343996,10,1978,76,6824.577723264694,12,449235.5176735833
318185.54381343996,10,1978,77,6999.070616006851,12,573346.4991090955
318185.54381343996,10,1978,78,7175.231457948685,12,573346.4991090955
318185.54381343996,10,1978,79,7353.936814546585,12,573346.4991090955
318185.54381343996,10,1978,80,7535.664939165115,12,510760.7367158299
318185.54381343996,10,1978,81,7720.051393508911,12,510760.7367158299
318185.54381343996,10,1978,82,7907.245570421219,12,491731.14060852194
318185.54381343996,10,1978,83,8097.465599775314,12,491731.14060852194
318185.54381343996,10,1978,84,8290.379174470901,12,491731.14060852194
318185.54381343996,10,1978,85,8486.054873228073,12,491731.14060852194
318185.54381343996,10,1978,86,8684.779872655869,12,491731.14060852194
318185.54381343996,10,1978,87,8886.283195734024,12,491731.14060852194
318185.54381343996,10,1978,88,9090.546516418457,12,491731.14060852194
318185.54381343996,10,1978,89,9297.780608415604,12,491731.14060852194
318185.54381343996,10,1978,90,9507.03956079483,12,487433.4664425284
318185.54381343996,10,1978,91,9718.007653951645,12,487433.4664425284
318185.54381343996,10,1978,92,9930.676185369492,12,487433.4664425284
318185.54381343996,10,1978,93,10145.206162452698,12,487433.4664425284
318185.54381343996,10,1978,94,10361.39051747322,12,553087.8728170361
318185.54381343996,10,1978,95,10579.319011211395,12,553087.8728170361
318185.54381343996,10,1978,96,10798.955705404282,12,553087.8728170361
318185.54381343996,10,1978,97,11020.440312385559,12,553087.8728170361
