fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed
424114.6257529531,2,16,1,0.32282400131225586,16
424114.6257529531,2,15,2,0.6459596157073975,16
424114.6257529531,2,15,3,1.0267329216003418,16
424114.6257529531,2,16,4,1.5228538513183594,16
424114.6257529531,2,14,5,2.01890230178833,16
424517.627141528,2,15,6,2.6259102821350098,16
427522.05332298623,2,15,7,3.12473726272583,16
424114.6257529531,2,14,8,3.6082234382629395,16
424114.6257529531,2,16,9,4.1071131229400635,16
424114.6257529531,2,15,10,4.600829124450684,16
424114.6257529531,2,15,11,5.0888495445251465,16
424114.6257529531,2,16,12,5.745615482330322,16
424114.6257529531,2,11,13,6.236730575561523,16
424114.6257529531,2,11,14,6.73413348197937,16
424517.627141528,2,9,15,7.2105207443237305,16
424114.6257529531,2,10,16,7.698131561279297,16
424114.6257529531,2,11,17,8.182487487792969,16
424114.6257529531,2,16,18,8.84013557434082,16
424114.6257529531,2,15,19,9.320854425430298,16
424114.6257529531,2,16,20,9.65753722190857,16
424114.6257529531,2,9,21,9.973138332366943,16
427522.05332298623,2,13,22,10.30255389213562,16
424114.6257529531,2,15,23,10.640781164169312,16
424114.6257529531,2,16,24,11.091710329055786,16
424114.6257529531,2,15,25,11.402254343032837,16
424114.6257529531,2,15,26,11.712438344955444,16
424114.6257529531,2,15,27,12.036468029022217,16
424114.6257529531,2,9,28,12.370564937591553,16
424114.6257529531,2,16,29,12.777244329452515,16
424114.6257529531,2,14,30,13.08525562286377,16
424114.6257529531,2,13,31,13.403913736343384,16
424114.6257529531,2,16,32,13.714205980300903,16
424114.6257529531,2,13,33,14.041982650756836,16
424517.627141528,2,9,34,14.359441757202148,16
424114.6257529531,2,16,35,14.785013675689697,16
424114.6257529531,2,16,36,15.102172374725342,16
424114.6257529531,2,12,37,15.431905746459961,16
424114.6257529531,2,14,38,15.764299631118774,16
424114.6257529531,2,13,39,16.206311464309692,16
424114.6257529531,2,16,40,16.696693420410156,16
424114.6257529531,2,16,41,17.332504987716675,16
425834.1049947183,2,13,42,17.68204355239868,16
424114.6257529531,2,16,43,18.005101680755615,16
424114.6257529531,2,15,44,18.38856863975525,16
424114.6257529531,2,16,45,18.861852407455444,16
427522.05332298623,2,9,46,19.188032865524292,16
424114.6257529531,2,16,47,19.61201810836792,16
424114.6257529531,2,15,48,19.93211340904236,16
424114.6257529531,2,15,49,20.239978551864624,16
424114.6257529531,2,16,50,20.6370050907135,16
424114.6257529531,2,13,51,21.12059998512268,16
424114.6257529531,2,14,52,21.738367319107056,16
424114.6257529531,2,14,53,22.228034257888794,16
424114.6257529531,2,14,54,22.717893600463867,16
424114.6257529531,2,16,55,23.20664954185486,16
424114.6257529531,2,14,56,23.699416399002075,16
424114.6257529531,2,13,57,24.192129135131836,16
424114.6257529531,2,14,58,24.8513286113739,16
424114.6257529531,2,12,59,25.32517433166504,16
424114.6257529531,2,13,60,25.80729651451111,16
424114.6257529531,2,16,61,26.300026655197144,16
424114.6257529531,2,15,62,26.793380975723267,16
424114.6257529531,2,14,63,27.300550937652588,16
424114.6257529531,2,14,64,27.957948207855225,16
424114.6257529531,2,16,65,28.440966606140137,16
424114.6257529531,2,16,66,28.930402040481567,16
424114.6257529531,2,16,67,29.41556167602539,16
424114.6257529531,2,16,68,29.90374255180359,16
425834.1049947183,2,16,69,30.390454530715942,16
424114.6257529531,2,15,70,31.046299934387207,16
424114.6257529531,2,14,71,31.519435167312622,16
424114.6257529531,2,11,72,32.01141834259033,16
424114.6257529531,2,11,73,32.50021505355835,16
424114.6257529531,2,14,74,32.97512245178223,16
424114.6257529531,2,11,75,33.47234129905701,16
424114.6257529531,2,16,76,34.12594699859619,16
424114.6257529531,2,13,77,34.625706911087036,16
424114.6257529531,2,13,78,35.10467767715454,16
424114.6257529531,2,16,79,35.5984890460968,16
424114.6257529531,2,15,80,36.100343227386475,16
424114.6257529531,2,16,81,36.74728536605835,16
424114.6257529531,2,11,82,37.24131155014038,16
424114.6257529531,2,13,83,37.740864276885986,16
424517.627141528,2,14,84,38.233389377593994,16
424114.6257529531,2,16,85,38.71967554092407,16
427522.05332298623,2,16,86,39.195072174072266,16
424114.6257529531,2,16,87,39.863176345825195,16
424114.6257529531,2,16,88,40.35546946525574,16
424114.6257529531,2,15,89,40.85472750663757,16
424114.6257529531,2,15,90,41.33294939994812,16
424517.627141528,2,16,91,41.8338508605957,16
424114.6257529531,2,14,92,42.34420156478882,16
424114.6257529531,2,15,93,42.99434995651245,16
424114.6257529531,2,14,94,43.482921838760376,16
424114.6257529531,2,16,95,43.97417712211609,16
424114.6257529531,2,15,96,44.46048188209534,16
424114.6257529531,2,16,97,44.94848847389221,16
424114.6257529531,2,15,98,45.44383502006531,16
424517.627141528,2,14,99,46.07510781288147,16
424114.6257529531,2,16,100,46.57155990600586,16
424114.6257529531,2,16,101,47.059006452560425,16
424114.6257529531,2,13,102,47.551236152648926,16
427003.8585922583,2,12,103,48.02216672897339,16
425834.1049947183,2,11,104,48.521822452545166,16
424517.627141528,2,13,105,49.172672271728516,16
424114.6257529531,2,14,106,49.66601514816284,16
425834.1049947183,2,12,107,50.13947772979736,16
424114.6257529531,2,12,108,50.63927674293518,16
424114.6257529531,2,12,109,51.13943338394165,16
425834.1049947183,2,15,110,51.77838373184204,16
425834.1049947183,2,16,111,52.26368975639343,16
424114.6257529531,2,15,112,52.75978446006775,16
424114.6257529531,2,15,113,53.23894166946411,16
424114.6257529531,2,13,114,53.72920203208923,16
424114.6257529531,2,16,115,54.21358823776245,16
424114.6257529531,2,12,116,54.84376859664917,16
424114.6257529531,2,16,117,55.307005643844604,16
