method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
traditional_gp,{},DT,0,352402.50406096363,1706233.5073778671,5.555152893066406e-05,118.88950443267822,"['((((((""yr"" * ""holiday"") + ((""hum"" + ""temp"") / (""season"" / ""atemp""))) * (((""weathersit"" - ""season"") / (""weathersit"" + ""holiday"")) * ""yr"")) - (((""atemp"" + ""season"") - (""weathersit"" * (""season"" * ""holiday""))) / (((""hum"" / ""yr"") + (""temp"" * ""season"")) - ""atemp""))) / ((((""yr"" * (""atemp"" + ""weekday"")) * ((""hum"" / ""weathersit"") * (""yr"" * ""holiday""))) - (((""temp"" * ""holiday"") + (""hum"" + ""windspeed"")) / ((""yr"" - ""weathersit"") - (""atemp"" + ""holiday"")))) / ((""atemp"" * ((""windspeed"" / ""weathersit"") + (""mnth"" * ""temp""))) + ""windspeed""))) / ((""windspeed"" + ((((""temp"" + ""temp"") / (""weekday"" + ""hum"")) + ((""mnth"" / ""season"") / ""season"")) - ""yr"")) + ""mnth""))']"
traditional_gp,{},DT,1,323452.990802868,979259.5973948084,5.173683166503906e-05,105.76959753036499,"['(((((((""weekday"" - ""weekday"") + ""temp"") - ((""windspeed"" - ""weekday"") - (""holiday"" * ""season""))) * ((""weekday"" / ""season"") * (""temp"" - ""workingday""))) - ((((""weathersit"" - ""season"") - ""season"") / ""weathersit"") / ""holiday"")) - (((((""windspeed"" + ""windspeed"") * ""temp"") * ""temp"") / (""season"" - (""hum"" / (""season"" - ""atemp"")))) + (((""hum"" * ""hum"") - ""workingday"") - (""atemp"" / (""workingday"" - ""workingday""))))) / ""yr"")']"
traditional_gp,{},DT,2,383122.3924347946,1492092.1711111746,4.9591064453125e-05,110.24004530906677,"['(((((((""season"" + ""atemp"") + (""holiday"" * ""temp"")) / ""mnth"") / ""mnth"") * (((""workingday"" / (""season"" / ""windspeed"")) - ""atemp"") / (((""workingday"" / ""weekday"") * (""mnth"" + ""windspeed"")) + ""weathersit""))) / (((((""temp"" * ""season"") - (""temp"" / ""workingday"")) - ((""temp"" * ""season"") / ""mnth"")) / ""mnth"") / ""yr"")) - ((""atemp"" - ""holiday"") + (((""mnth"" / ""mnth"") / ""yr"") - ((((""mnth"" / ""mnth"") - ""workingday"") + ((""atemp"" / ""mnth"") - ""atemp"")) / ""weathersit""))))']"
traditional_gp,{},DT,3,358038.6647997227,1241867.3644443178,5.6743621826171875e-05,117.96300983428955,"['((((""hum"" * (((""hum"" * ""windspeed"") + (""holiday"" * ""temp"")) - ((""weathersit"" * ""temp"") * (""windspeed"" / ""windspeed"")))) + ((((""yr"" * ""holiday"") + (""yr"" / ""mnth"")) / ""weekday"") - (((""windspeed"" / ""workingday"") / (""windspeed"" / ""weathersit"")) * (""temp"" * (""weekday"" / ""atemp""))))) + (((((""holiday"" * ""season"") / (""workingday"" / ""temp"")) * ""mnth"") + ""mnth"") * (""season"" - ((""weekday"" - ""windspeed"") * ((""mnth"" - ""weathersit"") * (""weekday"" / ""atemp"")))))) - ((((((""temp"" / ""weathersit"") * ""temp"") - (""temp"" - (""season"" - ""temp""))) * (""season"" - ((""yr"" * ""season"") * ""temp""))) / (""yr"" / (((""holiday"" - ""mnth"") * ""mnth"") * (""atemp"" * (""hum"" + ""hum""))))) + (((((""weathersit"" * ""weekday"") - ""windspeed"") / (""temp"" * (""holiday"" - ""yr""))) - ""weekday"") + ""mnth"")))']"
traditional_gp,{},DT,4,383270.7115331494,2369725.277696417,4.935264587402344e-05,111.84829115867615,"['((((""mnth"" / ""temp"") / (((""temp"" + ""hum"") - (""atemp"" / (""holiday"" - ""yr""))) + (((""yr"" + ""temp"") / ""weekday"") * (""weekday"" / ""season"")))) - (""atemp"" * (""atemp"" + (((""hum"" - ""temp"") * (""weathersit"" / ""temp"")) * (""windspeed"" / (""yr"" - ""temp"")))))) + (((((""windspeed"" + ""temp"") + ((""temp"" - ""workingday"") - (""mnth"" + ""weathersit""))) / (((""yr"" / ""holiday"") + (""workingday"" / ""mnth"")) / ((""temp"" * ""weathersit"") / (""temp"" + ""windspeed"")))) * ((((""weekday"" + ""atemp"") + ""atemp"") + ((""yr"" / ""weekday"") * (""windspeed"" / ""season""))) - (""yr"" / ""holiday""))) + ((""temp"" - ""workingday"") * ((((""mnth"" + ""atemp"") / ""yr"") - ""atemp"") * ((""temp"" / ""temp"") - ((""season"" + ""yr"") + (""atemp"" / ""weathersit"")))))))']"
traditional_gp,{},DT,8,345378.9407787478,1615310.2275254058,3.790855407714844e-05,68.97616577148438,"['(((((((""mnth"" + ""atemp"") - (""weekday"" / ""yr"")) * ((""yr"" + ""workingday"") * (""holiday"" / ""season""))) - (((""temp"" / ""yr"") + (""weekday"" + ""mnth"")) + ((""workingday"" - ""windspeed"") + ""mnth""))) + ((""atemp"" - ((""atemp"" / ""weathersit"") + (""temp"" + ""holiday""))) * ((""season"" / ""yr"") + ((""mnth"" / ""atemp"") + (""season"" / ""yr""))))) + ((((""mnth"" + (""atemp"" * ""weekday"")) + ((""holiday"" - ""holiday"") - ""atemp"")) / (((""windspeed"" - ""season"") * (""weekday"" + ""weekday"")) - (""season"" - (""mnth"" - ""atemp"")))) / ((((""holiday"" - ""windspeed"") - (""windspeed"" / ""yr"")) / ""yr"") - (((""temp"" - ""hum"") + (""windspeed"" + ""season"")) - ""mnth"")))) * ""atemp"")']"
traditional_gp,{},DT,5,372753.87860249466,1126393.4145415453,6.151199340820312e-05,102.1991982460022,"['(((((""atemp"" - ((""atemp"" - ""weathersit"") * (""temp"" - ""weathersit""))) * ""season"") / ""weathersit"") - (((((""weathersit"" * ""temp"") * (""yr"" * ""season"")) - ((""season"" - ""atemp"") - (""mnth"" - ""atemp""))) / ""workingday"") * ((""workingday"" / ((""weathersit"" - ""workingday"") + (""weekday"" * ""workingday""))) * ""season""))) * ((((""season"" - ((""temp"" / ""weathersit"") * (""temp"" - ""weathersit""))) - ((""hum"" / (""windspeed"" / ""weekday"")) + ""atemp"")) * ""yr"") - ""temp""))']"
traditional_gp,{},DT,6,378043.59438579873,1495203.020269141,5.9604644775390625e-05,97.13897824287415,"['(((((((""atemp"" * ""season"") / (""weathersit"" + ""yr"")) * (""atemp"" - ""weathersit"")) + ((""yr"" / ""hum"") / (""weathersit"" * ""holiday""))) + ((((""temp"" + ""temp"") + ""temp"") + ((""workingday"" - ""weathersit"") + (""workingday"" * ""weekday""))) + ""atemp"")) - ""weekday"") / ""yr"")']"
traditional_gp,{},DT,7,388067.2464822488,2277992.476310779,5.8650970458984375e-05,98.2934033870697,"['(((((((""season"" - ""holiday"") * (""season"" - ""weathersit"")) + ""weathersit"") + (""atemp"" / ""weathersit"")) + ""yr"") - (((((""atemp"" / ""windspeed"") + (""weekday"" - ""holiday"")) + ""atemp"") * (((""yr"" + ""mnth"") - ""holiday"") + ((""mnth"" + ""mnth"") + (""atemp"" / ""weathersit"")))) * ""yr"")) + ""temp"")']"
traditional_gp,{},DT,9,351858.75527119415,1308355.924753834,5.269050598144531e-05,107.56993818283081,"['((((((""weathersit"" / ""weathersit"") + ((""weathersit"" / ""yr"") / ""weathersit"")) + ""temp"") - (((""weathersit"" - ""season"") * (""season"" - ""holiday"")) + ""weathersit"")) - ""weathersit"") - (((((""weathersit"" * (""yr"" - ""windspeed"")) / ""weathersit"") / (""season"" - ((""weathersit"" / ""season"") * ""atemp""))) * ""holiday"") + (((""weathersit"" * ((""hum"" - ""weekday"") / (""windspeed"" + ""workingday""))) + ""temp"") * ((((""atemp"" + ""temp"") - (""windspeed"" + ""weathersit"")) - ""weathersit"") / (""weathersit"" * (""weathersit"" - ""hum""))))))']"
traditional_gp,{},DT,11,347131.5254612314,1531627.7429034195,6.0558319091796875e-05,101.47106504440308,"['((((""hum"" * ""workingday"") / ((((""yr"" - ""weekday"") - (""yr"" - ""weekday"")) - ((""windspeed"" - ""mnth"") / (""yr"" / ""temp""))) * (((""holiday"" / ""weathersit"") / (""temp"" + ""workingday"")) + ""atemp""))) + ""weathersit"") / (((((""temp"" - ""holiday"") - (""atemp"" / (""weathersit"" * ""season""))) + (((""atemp"" * ""weathersit"") + ""weathersit"") / ""windspeed"")) + ""atemp"") / ""yr""))']"
traditional_gp,{},DT,10,423075.73807787115,1926059.2615194502,5.3882598876953125e-05,113.89063549041748,"['((((""atemp"" + (((""season"" / ""hum"") - (""atemp"" * ""atemp"")) - ""atemp"")) - ((((""mnth"" + ""season"") * (""workingday"" + ""temp"")) - ""windspeed"") * (((""mnth"" / ""weathersit"") * (""weekday"" / ""hum"")) / ((""weathersit"" - ""yr"") + (""weathersit"" / ""hum""))))) / (""yr"" - (((""holiday"" / ""weathersit"") * ((""weathersit"" * ""season"") * (""hum"" - ""mnth""))) + (""hum"" * ""holiday"")))) - ((""atemp"" * ((((""yr"" / ""mnth"") + (""season"" / ""yr"")) * ""atemp"") + ""windspeed"")) - (((""hum"" - ""holiday"") * (""windspeed"" + (""hum"" / (""temp"" + ""mnth"")))) + ((((""temp"" + ""mnth"") + (""hum"" * ""season"")) * (""workingday"" - (""atemp"" / ""hum""))) + ((""yr"" / ""mnth"") / ((""weekday"" - ""weathersit"") + (""mnth"" * ""season"")))))))']"
traditional_gp,{},DT,13,326940.76110285474,1279267.4294619139,5.53131103515625e-05,104.290944814682,"['(((((((""atemp"" - ""windspeed"") + (""temp"" * ""weekday"")) + ((""temp"" / ""mnth"") * (""season"" - ""atemp""))) + (""hum"" * ""atemp"")) / (((""atemp"" + (""atemp"" * ""weathersit"")) - ((""mnth"" / ""temp"") * ""atemp"")) - ((""weekday"" - ""hum"") * (""hum"" / ""temp"")))) - ((""temp"" / (((""yr"" - ""windspeed"") / ""temp"") * ""temp"")) - (""season"" - (""holiday"" + ""weathersit"")))) / ""yr"")']"
traditional_gp,{},DT,14,350070.4955748808,1041969.2665506819,5.316734313964844e-05,108.36869072914124,"['((((((""yr"" / ""season"") - (""yr"" + (""atemp"" + ""hum""))) / (""hum"" * ((""season"" / ""weekday"") + ""season""))) - ""hum"") - ((((""temp"" + (""temp"" + ""season"")) - ""yr"") / ""temp"") * ((((""holiday"" + ""weathersit"") * (""windspeed"" / ""mnth"")) - ((""windspeed"" - ""temp"") - (""windspeed"" / ""season""))) + (""windspeed"" - ""season"")))) * (""mnth"" / (((((""windspeed"" + ""hum"") / (""mnth"" + ""hum"")) * ""weekday"") / ""weekday"") - (""mnth"" - (((""temp"" / ""yr"") * ""mnth"") + ""season"")))))']"
traditional_gp,{},DT,12,368711.38614298485,1604282.404467951,6.008148193359375e-05,120.16548371315002,"['(((""season"" * ""weathersit"") * ((((""season"" * ""atemp"") * ((""mnth"" * ""holiday"") * (""atemp"" * ""hum""))) * ""weathersit"") / ((""atemp"" / ((""holiday"" / ""hum"") - ""yr"")) + (((""windspeed"" - ""holiday"") * ""holiday"") / (""holiday"" + (""mnth"" / ""holiday"")))))) + ((((((""season"" * ""temp"") + (""season"" * ""weekday"")) * ((""workingday"" - ""atemp"") / (""yr"" * ""temp""))) / ""weathersit"") * ((((""season"" - ""weathersit"") + (""yr"" * ""windspeed"")) - ((""atemp"" * ""atemp"") + ""atemp"")) + (((""weathersit"" * ""atemp"") / (""weathersit"" + ""yr"")) + ((""weathersit"" * ""atemp"") - (""windspeed"" * ""season""))))) + (((((""weathersit"" * ""weathersit"") * (""windspeed"" - ""temp"")) - ((""weekday"" - ""mnth"") / (""season"" - ""weekday""))) * (""mnth"" - ((""atemp"" * ""atemp"") - ""holiday""))) / (((""temp"" * (""temp"" * ""hum"")) - ""temp"") / (((""weathersit"" - ""holiday"") - (""temp"" - ""yr"")) - (""hum"" - (""mnth"" / ""weekday"")))))))']"
