fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
736516.2436117947,8,25,1,1.15468430519104,9,1388632.64683241
686077.4964091834,8,25,2,2.834127426147461,9,1425958.0477616172
576604.2651727848,8,21,3,5.015062093734741,9,1280725.7862658857
576604.2651727848,8,21,4,7.694521903991699,9,1280725.7862658857
548387.2126143563,8,53,5,10.861296653747559,9,1262478.36495043
540942.7453502809,8,53,6,14.502815961837769,9,1327828.587835503
540533.0319333146,8,51,7,18.92439341545105,9,1220364.7620165795
540533.0319333146,8,51,8,23.8314106464386,9,1220364.7620165795
532831.2963126436,8,55,9,29.209064960479736,9,1100707.1869029782
529850.6753167947,8,61,10,35.100199699401855,9,763920.2697045238
529850.6753167947,8,61,11,41.44879913330078,9,763920.2697045238
528942.292535266,8,63,12,48.461458683013916,9,1220230.6437864893
528942.292535266,8,63,13,55.98103594779968,9,1220230.6437864893
528942.292535266,8,63,14,63.9815354347229,9,1220230.6437864893
524656.7005930869,8,63,15,72.469069480896,9,721174.4038266331
522992.67669383984,8,43,16,81.44237685203552,9,649139.7619616699
513406.1439821877,8,43,17,90.96517777442932,9,697467.933183358
508614.5898560422,8,43,18,101.15040016174316,9,807018.3046985861
501553.2223506035,8,49,19,111.8374195098877,9,584176.405219368
492025.7398668565,8,41,20,122.98960399627686,9,1296139.2072670374
492025.7398668565,8,41,21,134.61179900169373,9,1296139.2072670374
492025.7398668565,8,41,22,146.7127537727356,9,1296139.2072670374
492025.7398668565,8,41,23,159.4617555141449,9,1296139.2072670374
487583.22187184735,8,63,24,172.67687106132507,9,685071.6438856705
487583.22187184735,8,63,25,186.37009119987488,9,685071.6438856705
477442.4971099012,8,61,26,200.53247737884521,9,739178.0337689802
477442.4971099012,8,61,27,215.16661477088928,9,739178.0337689802
477442.4971099012,8,61,28,230.2779302597046,9,739178.0337689802
477442.4971099012,8,61,29,246.05109238624573,9,739178.0337689802
475966.9280511182,8,61,30,262.30055379867554,9,642651.7060168427
467523.4461022528,8,55,31,279.0526144504547,9,594706.1373310882
467523.4461022528,8,55,32,296.29634284973145,9,594706.1373310882
467523.4461022528,8,55,33,314.0252842903137,9,594706.1373310882
457624.3089741657,8,59,34,332.2313313484192,9,601677.6163514605
457624.3089741657,8,59,35,351.07711148262024,9,601677.6163514605
457624.3089741657,8,59,36,370.39136123657227,9,601677.6163514605
453988.99328953115,8,59,37,390.1696710586548,9,635146.454148335
453988.99328953115,8,59,38,410.41595578193665,9,635146.454148335
445004.88393548864,8,57,39,431.1633999347687,9,603936.6773790261
445004.88393548864,8,57,40,452.4355432987213,9,603936.6773790261
434550.1658599332,8,63,41,474.3767068386078,9,621822.6444846968
434550.1658599332,8,63,42,496.7961115837097,9,621822.6444846968
416904.0257819819,8,57,43,519.7210669517517,9,703612.525273224
416904.0257819819,8,57,44,543.1336359977722,9,703612.525273224
416904.0257819819,8,57,45,567.0732822418213,9,703612.525273224
414109.70364063006,8,57,46,591.6679491996765,9,682059.9654304106
