method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
No_FL,{},DT,0,0.8662217278457545,0.3581453634085213,0.0002167224884033203,0.01508951187133789,[]
No_FL,{},DT,3,0.8662217278457545,0.3581453634085213,0.00016188621520996094,0.012874603271484375,[]
No_FL,{},DT,2,0.8662217278457545,0.3581453634085213,0.00024700164794921875,0.016556978225708008,[]
No_FL,{},DT,5,0.8662217278457545,0.3581453634085213,0.00022411346435546875,0.01592254638671875,[]
No_FL,{},DT,6,0.8662217278457545,0.3581453634085213,0.00021576881408691406,0.01587510108947754,[]
No_FL,{},DT,7,0.8662217278457545,0.3581453634085213,0.0002269744873046875,0.015993356704711914,[]
No_FL,{},DT,8,0.8662217278457545,0.3581453634085213,0.00022482872009277344,0.013916730880737305,[]
No_FL,{},DT,10,0.8662217278457545,0.3581453634085213,0.00023818016052246094,0.015880107879638672,[]
No_FL,{},DT,1,0.8662217278457545,0.3581453634085213,0.00021982192993164062,0.015666484832763672,[]
No_FL,{},DT,4,0.8662217278457545,0.3581453634085213,0.0001785755157470703,0.013166189193725586,[]
No_FL,{},DT,12,0.8662217278457545,0.3581453634085213,0.00020694732666015625,0.015208959579467773,[]
No_FL,{},DT,13,0.8662217278457545,0.3581453634085213,0.00021147727966308594,0.012313365936279297,[]
No_FL,{},DT,14,0.8662217278457545,0.3581453634085213,0.00019502639770507812,0.014846086502075195,[]
No_FL,{},DT,9,0.8662217278457545,0.3581453634085213,0.00024700164794921875,0.015604496002197266,[]
No_FL,{},DT,17,0.8662217278457545,0.3581453634085213,0.0002262592315673828,0.015572309494018555,[]
No_FL,{},DT,15,0.8662217278457545,0.3581453634085213,0.00022363662719726562,0.014364957809448242,[]
No_FL,{},DT,18,0.8662217278457545,0.3581453634085213,0.00032019615173339844,0.01753711700439453,[]
No_FL,{},DT,19,0.8662217278457545,0.3581453634085213,0.00015354156494140625,0.009274721145629883,[]
No_FL,{},DT,20,0.8662217278457545,0.3581453634085213,0.00022864341735839844,0.016376495361328125,[]
No_FL,{},DT,21,0.8662217278457545,0.3581453634085213,0.0002167224884033203,0.015882015228271484,[]
No_FL,{},DT,22,0.8662217278457545,0.3581453634085213,0.00022268295288085938,0.015542745590209961,[]
No_FL,{},DT,11,0.8662217278457545,0.3581453634085213,0.0007932186126708984,0.020618200302124023,[]
No_FL,{},DT,24,0.8662217278457545,0.3581453634085213,0.00024819374084472656,0.01676201820373535,[]
No_FL,{},DT,23,0.8662217278457545,0.3581453634085213,0.0002624988555908203,0.017872095108032227,[]
No_FL,{},DT,25,0.8662217278457545,0.3581453634085213,0.0003504753112792969,0.015340089797973633,[]
No_FL,{},DT,26,0.8662217278457545,0.3581453634085213,0.00027489662170410156,0.017285823822021484,[]
No_FL,{},DT,16,0.8662217278457545,0.3581453634085213,0.00028586387634277344,0.01732325553894043,[]
No_FL,{},DT,27,0.8662217278457545,0.3581453634085213,0.000232696533203125,0.015299558639526367,[]
No_FL,{},DT,28,0.8662217278457545,0.3581453634085213,0.0002162456512451172,0.01635289192199707,[]
No_FL,{},DT,29,0.8662217278457545,0.3581453634085213,0.0002510547637939453,0.016517162322998047,[]
