fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
1.0,10,902,1,198.26851511001587,24,1.0
1.0,10,902,2,530.4460186958313,24,1.0
1.0,10,902,3,1009.8498487472534,24,1.0
1.0,10,902,4,1653.218610048294,24,1.0
1.0,10,902,5,2461.2694108486176,24,1.0
1.0,10,902,6,3436.945794582367,24,1.0
1.0,10,902,7,4574.910870790482,24,1.0
1.0,10,902,8,5873.446835756302,24,1.0
1.0,10,902,9,7313.980658531189,24,1.0
1.0,10,902,10,8861.751589298248,24,1.0
1.0,10,902,11,10517.328139066696,24,1.0
1.0,10,902,12,12278.606830596924,24,1.0
1.0,10,902,13,14142.227269649506,24,1.0
1.0,10,902,14,16109.39933013916,24,1.0
1.0,10,902,15,18179.702303886414,24,1.0
1.0,10,902,16,20354.282271385193,24,1.0
1.0,10,902,17,22634.398968696594,24,1.0
1.0,10,902,18,25020.70661187172,24,1.0
1.0,10,902,19,27512.961584329605,24,1.0
1.0,10,902,20,30109.01401567459,24,1.0
1.0,10,902,21,32844.878828048706,24,1.0
1.0,10,902,22,35750.62430644035,24,1.0
1.0,10,902,23,38822.61368894577,24,1.0
1.0,10,902,24,42060.612060546875,24,1.0
1.0,10,902,25,45450.76002907753,24,1.0
1.0,10,902,26,48946.29883313179,24,1.0
1.0,10,902,27,52552.67424249649,24,1.0
1.0,10,902,28,56268.15067458153,24,1.0
1.0,10,902,29,60093.28398799896,24,1.0
1.0,10,902,30,64023.570425987244,24,1.0
1.0,10,902,31,68057.8065021038,24,1.0
1.0,10,902,32,72195.32019877434,24,1.0
1.0,10,902,33,76436.33986783028,24,1.0
1.0,10,902,34,80781.3708512783,24,1.0
1.0,10,902,35,85229.00684595108,24,1.0
1.0,10,902,36,89783.41052150726,24,1.0
1.0,10,902,37,94445.35889005661,24,1.0
1.0,10,902,38,99215.23397278786,24,1.0
1.0,10,902,39,104090.7577161789,24,1.0
1.0,10,902,40,109072.74787306786,24,1.0
1.0,10,902,41,114160.90510678291,24,1.0
1.0,10,902,42,119355.4153907299,24,1.0
1.0,10,902,43,124655.01124286652,24,1.0
1.0,10,902,44,130060.19177913666,24,1.0
1.0,10,902,45,135572.4038796425,24,1.0
1.0,10,902,46,141190.19503760338,24,1.0
1.0,10,902,47,146917.00385689735,24,1.0
1.0,10,902,48,152748.19150567055,24,1.0
1.0,10,902,49,158683.5250737667,24,1.0
1.0,10,902,50,164721.56645321846,24,1.0
1.0,10,902,51,170862.92829680443,24,1.0
1.0,10,902,52,177110.36865901947,24,1.0
1.0,10,902,53,183461.11145448685,24,1.0
1.0,10,902,54,189913.3675005436,24,1.0
1.0,10,902,55,196466.83885502815,24,1.0
1.0,10,902,56,203119.69814682007,24,1.0
1.0,10,902,57,209873.78720140457,24,1.0
1.0,10,902,58,216731.8885757923,24,1.0
1.0,10,902,59,223692.44736099243,24,1.0
1.0,10,902,60,230757.74057126045,24,1.0
1.0,10,902,61,237928.7576391697,24,1.0
1.0,10,902,62,245206.4563188553,24,1.0
1.0,10,902,63,252589.1508011818,24,1.0
1.0,10,902,64,260078.9184911251,24,1.0
1.0,10,902,65,267673.84284353256,24,1.0
1.0,10,902,66,275372.6877632141,24,1.0
1.0,10,902,67,283175.7629673481,24,1.0
1.0,10,902,68,291083.2734296322,24,1.0
1.0,10,902,69,299095.3219668865,24,1.0
1.0,10,902,70,307211.85779857635,24,1.0
1.0,10,902,71,315431.8947954178,24,1.0
1.0,10,902,72,323757.01622343063,24,1.0
1.0,10,902,73,332185.1347184181,24,1.0
1.0,10,902,74,340717.2797679901,24,1.0
1.0,10,902,75,349354.4866888523,24,1.0
1.0,10,902,76,358095.3065340519,24,1.0
1.0,10,902,77,366941.98383140564,24,1.0
1.0,10,902,78,375894.798807621,24,1.0
1.0,10,902,79,384952.017475605,24,1.0
1.0,10,902,80,394115.2231941223,24,1.0
1.0,10,902,81,403383.6388025284,24,1.0
1.0,10,902,82,412755.8823928833,24,1.0
1.0,10,902,83,422231.64826488495,24,1.0
1.0,10,902,84,431812.44264507294,24,1.0
1.0,10,902,85,441499.2020699978,24,1.0
1.0,10,902,86,451291.0072929859,24,1.0
1.0,10,902,87,461188.8093597889,24,1.0
1.0,10,902,88,471194.77013111115,24,1.0
1.0,10,902,89,481309.1520397663,24,1.0
1.0,10,902,90,491530.24211096764,24,1.0
1.0,10,902,91,501858.3230974674,24,1.0
1.0,10,902,92,512290.3265154362,24,1.0
1.0,10,902,93,522829.06333756447,24,1.0
1.0,10,902,94,533479.6822104454,24,1.0
1.0,10,902,95,544242.4791560173,24,1.0
1.0,10,902,96,555118.4185147285,24,1.0
1.0,10,902,97,566172.00441432,24,1.0
1.0,10,902,98,577403.0147259235,24,1.0
1.0,10,902,99,588804.8285052776,24,1.0
1.0,10,902,100,600342.3721477985,24,1.0
1.0,10,902,101,612044.8255662918,24,1.0
1.0,10,902,102,623912.9924747944,24,1.0
1.0,10,902,103,635921.2107083797,24,1.0
1.0,10,902,104,648100.2481799126,24,1.0
1.0,10,902,105,660451.1727485657,24,1.0
1.0,10,902,106,672974.0064094067,24,1.0
1.0,10,902,107,685666.6512925625,24,1.0
1.0,10,902,108,698532.0934786797,24,1.0
1.0,10,902,109,711539.2678537369,24,1.0
1.0,10,902,110,724652.752907753,24,1.0
1.0,10,902,111,737903.8975646496,24,0.949616368286445
1.0,10,902,112,751325.5531373024,24,0.949616368286445
1.0,10,902,113,764914.0270130634,24,0.949616368286445
1.0,10,902,114,778673.4382505417,24,0.949616368286445
1.0,10,902,115,792608.2411646843,24,1.0
