method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
traditional_gp,{},DT,0,0.9501278772378517,0.5,0.0002079010009765625,260.58462738990784,"['(((((""Blood of Pressure"" + ((""Blood of Pressure"" + ""Age"") - (""Delivery time"" / ""Heart Problem""))) + ((""Age"" + ""Delivery number"") * ((""Blood of Pressure"" - ""Age"") / (""Delivery time"" + ""Delivery number"")))) - (((""Blood of Pressure"" + ""Age"") / ((""Delivery number"" / ""Delivery time"") / ""Age"")) - (""Heart Problem"" * (""Heart Problem"" / (""Age"" - ""Delivery time""))))) + (""Heart Problem"" + ((""Heart Problem"" + ((""Heart Problem"" / ""Age"") + (""Heart Problem"" / ""Delivery time""))) * (((""Blood of Pressure"" - ""Delivery time"") / (""Age"" + ""Age"")) * ""Delivery number"")))) / ((((((""Delivery time"" / ""Age"") + (""Heart Problem"" / ""Blood of Pressure"")) / ((""Heart Problem"" + ""Delivery number"") * (""Delivery number"" / ""Blood of Pressure""))) - ((""Blood of Pressure"" + (""Age"" - ""Delivery number"")) * ((""Blood of Pressure"" / ""Delivery time"") * (""Delivery time"" / ""Heart Problem"")))) * ((""Blood of Pressure"" / ((""Delivery number"" - ""Heart Problem"") + ""Heart Problem"")) * ((""Age"" * ""Heart Problem"") - ((""Blood of Pressure"" - ""Delivery number"") * (""Delivery number"" - ""Heart Problem""))))) + ""Heart Problem""))']"
traditional_gp,{},DT,1,0.9833759590792839,0.494949494949495,0.0002143383026123047,254.87911295890808,"['(((((((""Delivery time"" - ""Delivery number"") - (""Delivery number"" + ""Delivery number"")) / ""Heart Problem"") + (((""Blood of Pressure"" / ""Heart Problem"") * (""Blood of Pressure"" + ""Age"")) - ""Delivery number"")) + ((((""Blood of Pressure"" - ""Delivery time"") * (""Delivery number"" * ""Delivery time"")) * ((""Age"" + ""Age"") * ""Blood of Pressure"")) / (""Delivery time"" - ""Delivery number""))) / (((((""Blood of Pressure"" + ""Delivery number"") / (""Heart Problem"" * ""Blood of Pressure"")) + ((""Heart Problem"" - ""Delivery time"") + (""Delivery number"" / ""Heart Problem""))) + (""Heart Problem"" / (""Blood of Pressure"" / (""Delivery number"" + ""Delivery number"")))) * (((""Blood of Pressure"" - (""Age"" + ""Delivery time"")) * ((""Delivery number"" / ""Delivery time"") * ""Blood of Pressure"")) - (""Delivery number"" - (""Age"" * (""Delivery number"" * ""Heart Problem"")))))) * (((""Delivery number"" * ((""Delivery time"" * ""Age"") - (""Delivery number"" + ""Blood of Pressure""))) - ((""Delivery number"" * ""Heart Problem"") - (((""Blood of Pressure"" + ""Delivery number"") + (""Heart Problem"" + ""Heart Problem"")) + ((""Blood of Pressure"" - ""Age"") / (""Delivery time"" * ""Heart Problem""))))) / (((((""Heart Problem"" * ""Blood of Pressure"") - ""Heart Problem"") / ""Delivery number"") * ((""Heart Problem"" + (""Delivery time"" + ""Blood of Pressure"")) - ""Delivery number"")) * ""Age"")))']"
traditional_gp,{},DT,2,0.9833004787383836,0.5465473145780051,0.00021982192993164062,268.01202845573425,"['(((((""Heart Problem"" - ((""Blood of Pressure"" * ""Blood of Pressure"") / ""Delivery time"")) + ((""Age"" * (""Delivery number"" + ""Age"")) / (""Heart Problem"" / (""Delivery time"" * ""Heart Problem"")))) + ""Heart Problem"") / (((((""Age"" / ""Delivery number"") - (""Heart Problem"" + ""Blood of Pressure"")) - ((""Heart Problem"" + ""Age"") - (""Age"" / ""Delivery number""))) / ""Delivery time"") / (((""Heart Problem"" / ""Heart Problem"") * (""Heart Problem"" * ""Delivery number"")) - (((""Age"" - ""Age"") * ""Delivery number"") * ((""Delivery number"" * ""Delivery time"") * ""Heart Problem""))))) * ((((((""Age"" / ""Delivery number"") / ""Heart Problem"") + ((""Blood of Pressure"" * ""Delivery time"") + ""Heart Problem"")) / ""Heart Problem"") - ((((""Age"" * ""Heart Problem"") + (""Delivery number"" / ""Age"")) / ""Delivery number"") + ((""Heart Problem"" / (""Heart Problem"" - ""Blood of Pressure"")) / ((""Delivery number"" / ""Age"") / (""Blood of Pressure"" / ""Blood of Pressure""))))) - ((((""Heart Problem"" - ""Blood of Pressure"") + ((""Blood of Pressure"" / ""Age"") / (""Blood of Pressure"" / ""Blood of Pressure""))) / (((""Delivery time"" * ""Blood of Pressure"") + (""Delivery time"" + ""Age"")) - ((""Heart Problem"" + ""Age"") - (""Delivery number"" - ""Age"")))) + ""Blood of Pressure"")))']"
traditional_gp,{},DT,3,0.9501278772378517,0.494949494949495,0.00026488304138183594,251.49392461776733,"['(((((((""Heart Problem"" * ""Delivery time"") + (""Blood of Pressure"" + ""Delivery number"")) * ((""Heart Problem"" + ""Delivery number"") / (""Heart Problem"" + ""Age""))) / (((""Blood of Pressure"" * ""Delivery time"") * ""Delivery time"") * ((""Age"" - ""Delivery number"") + (""Age"" / ""Delivery number"")))) / (((""Age"" * (""Age"" + ""Delivery time"")) + ((""Age"" + ""Heart Problem"") + (""Heart Problem"" - ""Delivery number""))) / ""Delivery number"")) / ""Heart Problem"") * (((((""Delivery number"" / (""Delivery time"" + ""Delivery number"")) + ((""Age"" * ""Age"") + ""Heart Problem"")) - ""Blood of Pressure"") - (""Delivery number"" / (""Heart Problem"" / (""Delivery number"" * ""Blood of Pressure"")))) - (((((""Delivery number"" / ""Delivery time"") - (""Age"" / ""Heart Problem"")) / ((""Delivery number"" + ""Heart Problem"") * (""Delivery time"" - ""Age""))) / (((""Blood of Pressure"" + ""Delivery time"") - (""Heart Problem"" * ""Blood of Pressure"")) + ""Age"")) / (""Delivery time"" + ((""Age"" + ""Heart Problem"") * ((""Heart Problem"" / ""Delivery time"") * (""Delivery number"" / ""Blood of Pressure"")))))))']"
traditional_gp,{},DT,4,0.9833759590792839,0.5,0.0002200603485107422,249.05462074279785,"['(((((((""Blood of Pressure"" / ""Age"") * ""Blood of Pressure"") * (""Age"" / ""Delivery time"")) / ((""Heart Problem"" - (""Heart Problem"" * ""Age"")) * ((""Age"" / ""Delivery number"") * (""Age"" / ""Blood of Pressure"")))) + (((""Delivery number"" - ""Delivery number"") * ((""Delivery time"" * ""Blood of Pressure"") * (""Delivery number"" + ""Delivery time""))) * ""Age"")) * ""Delivery number"") - (((""Delivery time"" - ((""Blood of Pressure"" * ""Heart Problem"") / ((""Delivery number"" / ""Heart Problem"") - (""Delivery time"" + ""Blood of Pressure"")))) + ((((""Delivery number"" + ""Age"") - (""Heart Problem"" * ""Age"")) - ((""Blood of Pressure"" + ""Delivery time"") - (""Blood of Pressure"" * ""Heart Problem""))) - (((""Delivery time"" - ""Heart Problem"") / (""Delivery number"" - ""Blood of Pressure"")) - ((""Age"" / ""Delivery time"") * (""Delivery time"" / ""Age""))))) * ((""Delivery number"" + ((""Age"" + (""Delivery time"" * ""Delivery time"")) * (""Heart Problem"" - (""Age"" + ""Delivery number"")))) / (""Age"" * (((""Delivery number"" - ""Delivery number"") / ""Age"") * ((""Delivery time"" + ""Heart Problem"") + (""Delivery number"" + ""Age"")))))))']"
traditional_gp,{},DT,5,0.9666666666666667,0.494949494949495,0.00023126602172851562,264.63978147506714,"['(((((""Delivery time"" - ((""Blood of Pressure"" - ""Delivery time"") / ""Age"")) / ""Delivery number"") - (""Heart Problem"" + (((""Delivery time"" + ""Delivery number"") + (""Delivery time"" + ""Heart Problem"")) / ((""Age"" + ""Delivery number"") - (""Blood of Pressure"" + ""Delivery time""))))) * (((((""Age"" - ""Delivery time"") / (""Heart Problem"" + ""Age"")) + ((""Delivery number"" + ""Delivery number"") + ""Heart Problem"")) * (((""Blood of Pressure"" + ""Delivery number"") / (""Heart Problem"" * ""Delivery number"")) * (""Delivery number"" - (""Blood of Pressure"" / ""Delivery time"")))) + (""Delivery number"" - ((""Age"" + ""Delivery number"") - (""Delivery time"" - ""Delivery time""))))) + ((((((""Delivery number"" / ""Age"") + (""Age"" * ""Delivery number"")) + ((""Blood of Pressure"" + ""Age"") / (""Heart Problem"" / ""Blood of Pressure""))) * ""Age"") / ""Delivery number"") + (((((""Age"" + ""Delivery number"") + ""Blood of Pressure"") + ""Blood of Pressure"") - ((""Delivery time"" + (""Delivery number"" / ""Blood of Pressure"")) / ""Heart Problem"")) + ((""Blood of Pressure"" / ""Heart Problem"") - ((""Blood of Pressure"" / (""Heart Problem"" / ""Blood of Pressure"")) / ((""Delivery number"" * ""Age"") * (""Heart Problem"" - ""Heart Problem"")))))))']"
traditional_gp,{},DT,6,0.9668571428571427,0.6131868131868132,0.0002512931823730469,257.2520341873169,"['(((((((""Delivery time"" + ""Heart Problem"") + (""Age"" - ""Blood of Pressure"")) + ((""Blood of Pressure"" / ""Delivery number"") + ""Blood of Pressure"")) / ""Age"") - ((((""Delivery number"" + ""Heart Problem"") / ""Age"") - (""Heart Problem"" + (""Blood of Pressure"" - ""Delivery time""))) * ""Heart Problem"")) / (((((""Blood of Pressure"" - ""Delivery number"") + ""Blood of Pressure"") / ""Heart Problem"") * (((""Delivery time"" * ""Delivery time"") + ""Delivery number"") * ((""Blood of Pressure"" * ""Heart Problem"") - ""Heart Problem""))) / ((((""Blood of Pressure"" - ""Delivery number"") - (""Delivery number"" - ""Age"")) / ((""Heart Problem"" * ""Delivery time"") - ""Age"")) + (""Age"" + ((""Delivery number"" / ""Delivery number"") + ""Delivery number""))))) * ((""Delivery number"" - ((((""Age"" * ""Age"") + (""Heart Problem"" * ""Delivery number"")) / ((""Blood of Pressure"" / ""Heart Problem"") / (""Heart Problem"" * ""Blood of Pressure""))) + ((""Delivery number"" * (""Heart Problem"" / ""Delivery number"")) + ""Delivery time""))) - (((""Age"" + ((""Delivery number"" / ""Heart Problem"") + (""Delivery time"" * ""Heart Problem""))) / (""Blood of Pressure"" + ((""Delivery number"" - ""Age"") + (""Blood of Pressure"" * ""Delivery time"")))) / ((""Delivery number"" + (""Delivery time"" * ""Heart Problem"")) - (""Blood of Pressure"" * ((""Blood of Pressure"" + ""Heart Problem"") * (""Delivery time"" - ""Age"")))))))']"
traditional_gp,{},DT,7,0.9666666666666667,0.39393939393939387,0.00021004676818847656,255.90662097930908,"['((((""Delivery time"" - (((""Age"" / ""Delivery number"") + (""Age"" + ""Blood of Pressure"")) - ((""Heart Problem"" / ""Age"") / (""Delivery time"" + ""Heart Problem"")))) / ((""Age"" - ""Delivery number"") * (""Age"" * ((""Heart Problem"" / ""Delivery number"") - (""Heart Problem"" - ""Heart Problem""))))) - (((((""Delivery number"" / ""Heart Problem"") + ""Heart Problem"") * ((""Delivery number"" / ""Delivery number"") - ""Blood of Pressure"")) / (((""Delivery number"" - ""Heart Problem"") / (""Delivery time"" * ""Delivery number"")) / ((""Age"" - ""Blood of Pressure"") + (""Delivery time"" + ""Delivery time"")))) - ((""Delivery number"" - ((""Heart Problem"" / ""Blood of Pressure"") / (""Delivery number"" - ""Delivery time""))) - ""Delivery number""))) + ((((""Delivery time"" + ((""Heart Problem"" - ""Blood of Pressure"") - (""Blood of Pressure"" / ""Blood of Pressure""))) * (((""Heart Problem"" / ""Delivery number"") - (""Age"" + ""Blood of Pressure"")) / (""Heart Problem"" + (""Delivery number"" + ""Age"")))) * ((""Heart Problem"" + ""Delivery number"") + (((""Delivery time"" * ""Delivery number"") + (""Age"" * ""Age"")) + ""Heart Problem""))) / ""Heart Problem""))']"
traditional_gp,{},DT,8,0.950474274216729,0.5151515151515151,0.0002110004425048828,249.62447381019592,"['(""Delivery number"" + ((((((""Blood of Pressure"" * ""Delivery time"") + (""Delivery number"" - ""Delivery number"")) / (""Age"" - ""Age"")) / (((""Age"" * ""Delivery time"") - ""Age"") + ((""Delivery number"" - ""Delivery time"") * (""Blood of Pressure"" - ""Delivery number"")))) - ""Heart Problem"") + (((""Blood of Pressure"" * ((""Heart Problem"" + ""Delivery number"") * (""Delivery number"" * ""Age""))) * ((""Blood of Pressure"" + ""Age"") * ((""Heart Problem"" / ""Age"") + ""Delivery time""))) - (((""Delivery number"" - (""Blood of Pressure"" * ""Delivery number"")) - ""Age"") / (""Delivery number"" * ((""Heart Problem"" / ""Delivery number"") / (""Delivery time"" / ""Age"")))))))']"
traditional_gp,{},DT,9,0.9666666666666667,0.3451127819548872,0.0002696514129638672,231.98851823806763,"['(((((((""Delivery number"" * ""Age"") + ""Delivery number"") - ((""Delivery number"" * ""Blood of Pressure"") - ""Age"")) + (((""Blood of Pressure"" / ""Age"") + (""Blood of Pressure"" / ""Heart Problem"")) - ((""Heart Problem"" - ""Blood of Pressure"") - ""Blood of Pressure""))) + ((((""Age"" - ""Delivery time"") + (""Blood of Pressure"" / ""Heart Problem"")) / (""Blood of Pressure"" + ""Age"")) / ""Heart Problem"")) + ""Age"") - ((((""Delivery number"" + (""Age"" - (""Blood of Pressure"" + ""Delivery time""))) + (((""Blood of Pressure"" - ""Delivery time"") * (""Age"" + ""Delivery time"")) + ((""Age"" - ""Delivery number"") * ""Heart Problem""))) + (""Age"" / ((""Heart Problem"" / ""Delivery number"") - ((""Blood of Pressure"" * ""Blood of Pressure"") * (""Heart Problem"" / ""Blood of Pressure""))))) * (((((""Blood of Pressure"" * ""Delivery time"") - (""Blood of Pressure"" / ""Heart Problem"")) / ((""Age"" - ""Delivery time"") + (""Heart Problem"" + ""Age""))) + ""Age"") + ""Age"")))']"
