method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,0,0.915839011102453,0.7357456140350876,5.6743621826171875e-05,0.16950106620788574,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,1,0.915839011102453,0.7357456140350876,5.435943603515625e-05,0.20011115074157715,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,5,0.915839011102453,0.7490896479972257,3.743171691894531e-05,0.11774301528930664,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,2,0.9202203768763972,0.7357456140350876,4.744529724121094e-05,0.15304255485534668,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,3,0.9202203768763972,0.7490896479972257,5.698204040527344e-05,0.19556045532226562,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,4,0.915839011102453,0.7490896479972257,5.3882598876953125e-05,0.19723987579345703,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,6,0.9202203768763972,0.7357456140350876,4.863739013671875e-05,0.17205452919006348,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,8,0.9202203768763972,0.7357456140350876,3.695487976074219e-05,0.10888481140136719,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,7,0.915839011102453,0.7490896479972257,5.8650970458984375e-05,0.16303467750549316,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,9,0.9202203768763972,0.7490896479972257,3.981590270996094e-05,0.14942359924316406,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,10,0.9202203768763972,0.7357456140350876,5.221366882324219e-05,0.16295862197875977,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,11,0.9202203768763972,0.7490896479972257,5.6743621826171875e-05,0.1600499153137207,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,12,0.915839011102453,0.7357456140350876,3.838539123535156e-05,0.12997651100158691,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,13,0.9202203768763972,0.7357456140350876,6.079673767089844e-05,0.1587843894958496,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,15,0.915839011102453,0.7357456140350876,5.340576171875e-05,0.1618938446044922,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,14,0.9202203768763972,0.7357456140350876,4.9591064453125e-05,0.15465712547302246,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,16,0.9202203768763972,0.7357456140350876,4.553794860839844e-05,0.1898820400238037,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,18,0.915839011102453,0.7357456140350876,5.1975250244140625e-05,0.17126226425170898,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,17,0.915839011102453,0.7490896479972257,3.743171691894531e-05,0.12607765197753906,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,20,0.915839011102453,0.7490896479972257,5.078315734863281e-05,0.16696476936340332,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,19,0.915839011102453,0.7357456140350876,5.745887756347656e-05,0.1628873348236084,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,21,0.9202203768763972,0.7490896479972257,5.364418029785156e-05,0.16055035591125488,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,22,0.9202203768763972,0.7357456140350876,5.316734313964844e-05,0.16335153579711914,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,23,0.915839011102453,0.7357456140350876,5.2928924560546875e-05,0.16833162307739258,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,24,0.915839011102453,0.7490896479972257,5.936622619628906e-05,0.17569780349731445,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,25,0.9202203768763972,0.7357456140350876,5.245208740234375e-05,0.1617286205291748,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,26,0.9202203768763972,0.7357456140350876,5.602836608886719e-05,0.15798449516296387,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,27,0.915839011102453,0.7490896479972257,5.507469177246094e-05,0.17316222190856934,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,28,0.915839011102453,0.7357456140350876,3.695487976074219e-05,0.1340923309326172,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,29,0.915839011102453,0.7357456140350876,5.245208740234375e-05,0.16718554496765137,"[""['Age', 'Sex', 'Chest pain type', 'Trestbps', 'Cholesterol', 'Fasting blood sugar gt 120', 'Resting ecg', 'Max heart rate', 'Exercise induced angina', 'Oldpeak', 'Slope', 'Number of vessels colored', 'Thal']""]"
