method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
No_FL,{},DT,0,0.9202203768763972,0.7490896479972257,4.00543212890625e-05,0.14251255989074707,[]
No_FL,{},DT,3,0.9202203768763972,0.7357456140350876,5.14984130859375e-05,0.09214019775390625,[]
No_FL,{},DT,2,0.915839011102453,0.7226780319969336,5.14984130859375e-05,0.09441041946411133,[]
No_FL,{},DT,1,0.915839011102453,0.7226780319969336,5.030632019042969e-05,0.10771465301513672,[]
No_FL,{},DT,4,0.915839011102453,0.7226780319969336,4.649162292480469e-05,0.10544896125793457,[]
No_FL,{},DT,5,0.9202203768763972,0.7361126308494729,5.030632019042969e-05,0.08967804908752441,[]
No_FL,{},DT,6,0.9202203768763972,0.7357456140350876,5.125999450683594e-05,0.09811234474182129,[]
No_FL,{},DT,7,0.915839011102453,0.7357456140350876,5.841255187988281e-05,0.10127472877502441,[]
No_FL,{},DT,8,0.9202203768763972,0.7226780319969336,5.125999450683594e-05,0.1036372184753418,[]
No_FL,{},DT,9,0.9202203768763972,0.7357456140350876,5.3882598876953125e-05,0.0991361141204834,[]
No_FL,{},DT,11,0.915839011102453,0.7226780319969336,5.173683166503906e-05,0.09375691413879395,[]
No_FL,{},DT,10,0.9202203768763972,0.7357456140350876,4.9114227294921875e-05,0.10475540161132812,[]
No_FL,{},DT,12,0.915839011102453,0.7490896479972257,5.2928924560546875e-05,0.10858511924743652,[]
No_FL,{},DT,13,0.9202203768763972,0.7226780319969336,5.626678466796875e-05,0.10024142265319824,[]
No_FL,{},DT,14,0.915839011102453,0.7357456140350876,5.4836273193359375e-05,0.10559248924255371,[]
No_FL,{},DT,15,0.915839011102453,0.7357456140350876,4.553794860839844e-05,0.0862264633178711,[]
No_FL,{},DT,16,0.9202203768763972,0.7226780319969336,3.218650817871094e-05,0.07670235633850098,[]
No_FL,{},DT,18,0.915839011102453,0.7490896479972257,4.029273986816406e-05,0.08212876319885254,[]
No_FL,{},DT,19,0.9202203768763972,0.7361126308494729,5.3882598876953125e-05,0.09633231163024902,[]
No_FL,{},DT,17,0.9202203768763972,0.7226780319969336,5.078315734863281e-05,0.0971839427947998,[]
No_FL,{},DT,20,0.915839011102453,0.7226780319969336,5.078315734863281e-05,0.09324312210083008,[]
No_FL,{},DT,21,0.915839011102453,0.7226780319969336,3.695487976074219e-05,0.07919716835021973,[]
No_FL,{},DT,22,0.9202203768763972,0.7490896479972257,3.600120544433594e-05,0.06900858879089355,[]
No_FL,{},DT,23,0.9202203768763972,0.7226780319969336,4.982948303222656e-05,0.09821224212646484,[]
No_FL,{},DT,25,0.915839011102453,0.7357456140350876,4.935264587402344e-05,0.08682847023010254,[]
No_FL,{},DT,24,0.915839011102453,0.7361126308494729,5.412101745605469e-05,0.09368586540222168,[]
No_FL,{},DT,26,0.915839011102453,0.7357456140350876,4.9591064453125e-05,0.08483004570007324,[]
No_FL,{},DT,27,0.915839011102453,0.7361126308494729,4.863739013671875e-05,0.08285355567932129,[]
No_FL,{},DT,28,0.9202203768763972,0.7361126308494729,5.078315734863281e-05,0.0863037109375,[]
No_FL,{},DT,29,0.9202203768763972,0.7226780319969336,4.5299530029296875e-05,0.08050799369812012,[]
