method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
random_search,{},DT,0,0.9202203768763972,0.7357456140350876,5.507469177246094e-05,115.5118477344513,"['[""Chest pain type"",""Trestbps"",""Max heart rate"",""Age"",""Cholesterol"",""Resting ecg"",""Number of vessels colored"",""Thal"",""Sex"",""Exercise induced angina"",""Sex"",""Cholesterol"",""Slope"",""Oldpeak""]']"
random_search,{},DT,1,0.915839011102453,0.7357456140350876,5.173683166503906e-05,112.48414921760559,"['[""Age"",""Trestbps"",""Sex"",""Cholesterol"",""Cholesterol"",""Fasting blood sugar gt 120"",""Thal"",""Slope"",""Chest pain type"",""Max heart rate"",""Trestbps"",""Oldpeak"",""Thal"",""Slope"",""Number of vessels colored""]']"
random_search,{},DT,2,0.9202203768763972,0.7490896479972257,5.459785461425781e-05,120.27068829536438,"['[""Oldpeak"",""Thal"",""Chest pain type"",""Chest pain type"",""Resting ecg"",""Max heart rate"",""Resting ecg"",""Chest pain type"",""Trestbps"",""Slope"",""Cholesterol"",""Number of vessels colored"",""Sex"",""Age"",""Trestbps""]']"
random_search,{},DT,3,0.9202203768763972,0.7490896479972257,5.3882598876953125e-05,119.14202308654785,"['[""Slope"",""Chest pain type"",""Max heart rate"",""Thal"",""Cholesterol"",""Trestbps"",""Age"",""Number of vessels colored"",""Thal"",""Chest pain type"",""Resting ecg"",""Resting ecg"",""Sex"",""Oldpeak"",""Exercise induced angina""]']"
random_search,{},DT,4,0.915839011102453,0.7490896479972257,5.53131103515625e-05,114.75212049484253,"['[""Thal"",""Number of vessels colored"",""Number of vessels colored"",""Chest pain type"",""Sex"",""Trestbps"",""Oldpeak"",""Thal"",""Fasting blood sugar gt 120"",""Age"",""Cholesterol"",""Sex"",""Chest pain type"",""Max heart rate"",""Age""]']"
random_search,{},DT,6,0.915839011102453,0.7357456140350876,5.4836273193359375e-05,114.49861526489258,"['[""Cholesterol"",""Age"",""Thal"",""Max heart rate"",""Oldpeak"",""Trestbps"",""Oldpeak"",""Oldpeak"",""Chest pain type"",""Number of vessels colored"",""Max heart rate"",""Cholesterol"",""Thal"",""Sex"",""Exercise induced angina""]']"
random_search,{},DT,7,0.9202203768763972,0.7357456140350876,4.124641418457031e-05,115.28172731399536,"['[""Oldpeak"",""Cholesterol"",""Age"",""Slope"",""Thal"",""Max heart rate"",""Exercise induced angina"",""Sex"",""Number of vessels colored"",""Chest pain type"",""Fasting blood sugar gt 120"",""Thal"",""Cholesterol"",""Trestbps"",""Exercise induced angina""]']"
random_search,{},DT,5,0.9202203768763972,0.7357456140350876,5.221366882324219e-05,120.09228491783142,"['[""Age"",""Trestbps"",""Thal"",""Cholesterol"",""Sex"",""Fasting blood sugar gt 120"",""Resting ecg"",""Max heart rate"",""Oldpeak"",""Chest pain type"",""Number of vessels colored"",""Age"",""Cholesterol""]']"
random_search,{},DT,11,0.9202203768763972,0.7357456140350876,5.4836273193359375e-05,97.3593499660492,"['[""Chest pain type"",""Cholesterol"",""Oldpeak"",""Oldpeak"",""Number of vessels colored"",""Sex"",""Max heart rate"",""Max heart rate"",""Number of vessels colored"",""Oldpeak"",""Age"",""Cholesterol"",""Trestbps"",""Age"",""Thal""]']"
random_search,{},DT,8,0.915839011102453,0.7490896479972257,6.103515625e-05,122.38267707824707,"['[""Sex"",""Trestbps"",""Number of vessels colored"",""Max heart rate"",""Number of vessels colored"",""Age"",""Thal"",""Chest pain type"",""Trestbps"",""Age"",""Cholesterol"",""Cholesterol"",""Exercise induced angina"",""Oldpeak""]']"
