method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,0,0.9614091680814941,0.8449722320690063,5.435943603515625e-05,0.20240044593811035,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,1,0.9614091680814941,0.8449722320690063,3.361701965332031e-05,0.15427112579345703,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,2,0.9614091680814941,0.8449722320690063,3.3855438232421875e-05,0.15082812309265137,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,5,0.9614091680814941,0.8251414997507258,4.863739013671875e-05,0.1986398696899414,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,3,0.9614091680814941,0.8251414997507258,5.3882598876953125e-05,0.20291399955749512,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,6,0.9614091680814941,0.8449722320690063,3.528594970703125e-05,0.14127874374389648,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,8,0.9614091680814941,0.8449722320690063,3.790855407714844e-05,0.17046093940734863,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,7,0.9614091680814941,0.8449722320690063,4.839897155761719e-05,0.19887018203735352,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,11,0.9614091680814941,0.8449722320690063,8.416175842285156e-05,0.17653179168701172,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,10,0.9614091680814941,0.8449722320690063,5.5789947509765625e-05,0.2090160846710205,"[""['surgery', 'Age', 'rectal_temperature', 'pulse', 'respiratory_rate', 'temp_extremities', 'peripheral_pulse', 'mucous_membranes', 'capillary_refill_time', 'pain', 'peristalsis', 'abdominal_distension', 'nasogastric_tube', 'nasogastric_reflux', 'nasogastric_reflux_PH', 'rectal_examination', 'abdomen', 'packed_cell_volume', 'total_protein', 'abdominocentesis_appearance', 'abdomcentesis_total_protein', 'outcome']""]"
