fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
0.9807371284943635,10,664,1,244.80176520347595,0,0.9806873343458709
0.9807371284943635,10,664,2,631.2907090187073,0,0.9808678500986192
0.9807371284943635,10,664,3,1166.2013607025146,0,0.9808678500986192
0.9807371284943635,10,664,4,1853.970763683319,0,0.9806873343458709
0.9871363893604982,10,864,5,2701.4019088745117,0,1.0
0.9871363893604982,10,864,6,3712.765524148941,0,1.0
0.9871363893604982,10,864,7,4887.325687646866,0,1.0
0.9871363893604982,10,864,8,6224.992200136185,0,1.0
0.9871363893604982,10,864,9,7732.414304018021,0,1.0
0.9871363893604982,10,864,10,9420.55916595459,0,1.0
0.9871363893604982,10,864,11,11240.766616344452,0,1.0
0.9935579788952223,10,879,12,13246.784315824509,0,0.9806873343458709
0.9935579788952223,10,879,13,15435.588859558105,0,0.9806873343458709
0.9935579788952223,10,879,14,17806.594145059586,0,0.9806873343458709
0.9935579788952223,10,879,15,20369.562186717987,0,0.9806873343458709
0.9935579788952223,10,879,16,23132.071390867233,0,0.9806873343458709
0.9935579788952223,10,879,17,26096.196719646454,0,0.9806873343458709
0.9935579788952223,10,879,18,29197.424354076385,0,0.9806873343458709
0.9935579788952223,10,879,19,32469.483656167984,0,0.9806873343458709
0.9935579788952223,10,879,20,35941.053978443146,0,0.9806873343458709
0.9935579788952223,10,879,21,39611.318022727966,0,0.9806873343458709
0.9935579788952223,10,879,22,43471.427795648575,0,0.9806873343458709
0.9935579788952223,10,879,23,47491.04472613335,0,0.9806873343458709
0.9935579788952223,10,879,24,51692.89068651199,0,1.0
0.9935579788952223,10,879,25,56093.46791100502,0,1.0
0.9935579788952223,10,879,26,60701.54958796501,0,1.0
0.9935579788952223,10,879,27,65521.49201750755,0,1.0
0.9935579788952223,10,879,28,70550.87746095657,0,1.0
1.0,10,859,29,75782.9910800457,0,1.0
1.0,10,859,30,81210.93448972702,0,1.0
1.0,10,859,31,86817.57616114616,0,0.9619678567046989
1.0,10,859,32,92631.60385537148,0,0.9619678567046989
1.0,10,859,33,98650.59692239761,0,0.9433549508176374
1.0,10,859,34,104881.68898916245,0,0.9433549508176374
1.0,10,859,35,111265.28787899017,0,0.9433549508176374
1.0,10,859,36,117781.29791498184,0,0.9433549508176374
1.0,10,859,37,124426.32043886185,0,0.9433549508176374
1.0,10,859,38,131199.82744264603,0,0.9433549508176374
1.0,10,859,39,138101.41065001488,0,0.9433549508176374
1.0,10,859,40,145131.3306529522,0,0.9433549508176374
1.0,10,859,41,152292.62029623985,0,0.9433549508176374
1.0,10,859,42,159586.30901312828,0,0.9433549508176374
