method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
random_search,{},DT,0,0.9614091680814941,0.8449722320690063,4.887580871582031e-05,78.42453050613403,"['[""rectal_temperature"",""abdomcentesis_total_protein"",""surgery"",""pain"",""abdomen"",""mucous_membranes"",""packed_cell_volume"",""peristalsis"",""total_protein"",""mucous_membranes"",""outcome"",""rectal_temperature"",""nasogastric_reflux_PH"",""mucous_membranes"",""outcome""]']"
random_search,{},DT,1,0.9614091680814941,0.8251414997507258,5.602836608886719e-05,83.05311346054077,"['[""abdomcentesis_total_protein"",""abdominocentesis_appearance"",""packed_cell_volume"",""mucous_membranes"",""Age"",""outcome"",""peristalsis"",""respiratory_rate"",""surgery"",""abdominal_distension"",""packed_cell_volume"",""nasogastric_tube"",""abdominal_distension"",""packed_cell_volume""]']"
random_search,{},DT,3,0.9614091680814941,0.8449722320690063,5.078315734863281e-05,86.34024262428284,"['[""respiratory_rate"",""abdominocentesis_appearance"",""abdomcentesis_total_protein"",""nasogastric_tube"",""packed_cell_volume"",""mucous_membranes"",""outcome"",""Age"",""abdomcentesis_total_protein"",""respiratory_rate"",""surgery"",""abdominocentesis_appearance"",""peristalsis"",""Age"",""nasogastric_reflux""]']"
random_search,{},DT,2,0.9614091680814941,0.8261860091128383,5.2928924560546875e-05,85.94143724441528,"['[""nasogastric_tube"",""mucous_membranes"",""pulse"",""peripheral_pulse"",""abdomcentesis_total_protein"",""rectal_temperature"",""surgery"",""abdominocentesis_appearance"",""packed_cell_volume"",""Age"",""outcome"",""peristalsis"",""outcome"",""rectal_temperature"",""outcome""]']"
random_search,{},DT,5,0.9614091680814941,0.8449722320690063,5.745887756347656e-05,86.40171599388123,"['[""surgery"",""abdomcentesis_total_protein"",""surgery"",""nasogastric_reflux_PH"",""Age"",""rectal_temperature"",""temp_extremities"",""nasogastric_reflux_PH"",""nasogastric_reflux_PH"",""mucous_membranes"",""peristalsis"",""abdominal_distension"",""outcome"",""packed_cell_volume"",""Age""]']"
random_search,{},DT,4,0.9614091680814941,0.8449722320690063,5.6743621826171875e-05,84.91939210891724,"['[""nasogastric_reflux"",""peristalsis"",""peristalsis"",""packed_cell_volume"",""abdominal_distension"",""surgery"",""abdomcentesis_total_protein"",""outcome"",""abdominal_distension"",""respiratory_rate"",""packed_cell_volume"",""mucous_membranes"",""rectal_examination""]']"
random_search,{},DT,6,0.9614091680814941,0.8261860091128383,5.078315734863281e-05,86.15596199035645,"['[""abdomen"",""Age"",""pulse"",""peristalsis"",""packed_cell_volume"",""nasogastric_reflux_PH"",""abdomcentesis_total_protein"",""surgery"",""respiratory_rate"",""mucous_membranes"",""rectal_examination"",""outcome"",""surgery"",""peristalsis"",""rectal_temperature""]']"
random_search,{},DT,8,0.9614091680814941,0.8053613053613055,5.173683166503906e-05,83.77978992462158,"['[""surgery"",""mucous_membranes"",""temp_extremities"",""packed_cell_volume"",""outcome"",""temp_extremities"",""temp_extremities"",""abdomcentesis_total_protein"",""nasogastric_tube"",""peristalsis"",""surgery"",""abdominocentesis_appearance"",""total_protein"",""rectal_examination""]']"
random_search,{},DT,7,0.9614091680814941,0.8449722320690063,5.340576171875e-05,77.38684487342834,"['[""peristalsis"",""abdomen"",""peripheral_pulse"",""packed_cell_volume"",""nasogastric_reflux_PH"",""surgery"",""outcome"",""nasogastric_tube"",""mucous_membranes"",""packed_cell_volume"",""abdomcentesis_total_protein"",""mucous_membranes"",""nasogastric_tube"",""rectal_temperature""]']"
random_search,{},DT,9,0.9614091680814941,0.8461538461538461,3.4332275390625e-05,77.53538966178894,"['[""nasogastric_reflux_PH"",""outcome"",""peristalsis"",""packed_cell_volume"",""mucous_membranes"",""abdomcentesis_total_protein"",""surgery"",""rectal_temperature"",""Age"",""pulse"",""abdomcentesis_total_protein"",""peripheral_pulse"",""abdominal_distension""]']"
