method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
traditional_gp,{},DT,0,0.9741241762053415,0.6886446886446886,5.5789947509765625e-05,98.97932982444763,"['((""surgery"" + ""outcome"") + ((((""peristalsis"" - ""mucous_membranes"") - ""outcome"") * (((""peristalsis"" + ""abdomen"") * ((""surgery"" * ""mucous_membranes"") / ((""rectal_temperature"" / ""temp_extremities"") - (""rectal_temperature"" / ""Age"")))) * ((((""abdomen"" / ""temp_extremities"") * ""pulse"") + ""surgery"") / ((""packed_cell_volume"" * (""surgery"" + ""nasogastric_reflux"")) + ((""outcome"" / ""peripheral_pulse"") * ""peristalsis""))))) + ""outcome""))']"
traditional_gp,{},DT,1,0.9807371284943635,0.8678282185744871,5.5789947509765625e-05,96.76167917251587,"['(""surgery"" - ((((((""capillary_refill_time"" + (""abdomen"" * ""abdomcentesis_total_protein"")) + ((""abdomen"" * ""abdominocentesis_appearance"") * (""abdomen"" + ""rectal_examination""))) + ""nasogastric_reflux"") / ""nasogastric_reflux_PH"") / (((((""mucous_membranes"" + ""packed_cell_volume"") + (""peristalsis"" * ""abdomcentesis_total_protein"")) + ""abdominal_distension"") - (((""rectal_examination"" * ""abdomen"") + ""abdomen"") / ((""rectal_examination"" - ""mucous_membranes"") / (""peristalsis"" - ""pain"")))) - ((""nasogastric_reflux"" / ((""mucous_membranes"" / ""capillary_refill_time"") - (""packed_cell_volume"" - ""total_protein""))) * ""abdomen""))) + (""abdominal_distension"" * ""outcome"")))']"
traditional_gp,{},DT,2,0.9743621286677603,0.8261860091128383,5.626678466796875e-05,101.3935375213623,"['(""outcome"" * ((""abdominal_distension"" / ((((""surgery"" / (""peristalsis"" + ""total_protein"")) + ((""peripheral_pulse"" / ""temp_extremities"") + (""pain"" - ""abdominal_distension""))) + (""rectal_temperature"" + ((""rectal_temperature"" * ""peripheral_pulse"") * ""surgery""))) - ((((""abdomcentesis_total_protein"" * ""Age"") - (""peristalsis"" * ""peristalsis"")) / (""rectal_temperature"" + ""total_protein"")) * (((""peristalsis"" * ""peristalsis"") * ""peripheral_pulse"") * ""surgery"")))) - ""surgery""))']"
traditional_gp,{},DT,4,0.9550532998201814,0.7875606778045802,5.602836608886719e-05,76.65098834037781,"['((""pulse"" / (((((""abdomen"" / (""packed_cell_volume"" * ""nasogastric_tube"")) - ""packed_cell_volume"") / ""abdominocentesis_appearance"") - ((((""peristalsis"" + ""abdominal_distension"") / ""rectal_temperature"") - ((""nasogastric_reflux"" / ""Age"") + ""packed_cell_volume"")) * ((""temp_extremities"" / (""peripheral_pulse"" * ""peristalsis"")) * ""mucous_membranes""))) * ((""temp_extremities"" / (((""peripheral_pulse"" - ""outcome"") - (""Age"" - ""rectal_temperature"")) * ((""Age"" * ""rectal_examination"") - (""peripheral_pulse"" - ""outcome"")))) / ((((""abdominal_distension"" - ""packed_cell_volume"") - ""mucous_membranes"") / ((""packed_cell_volume"" / ""Age"") - (""total_protein"" - ""pulse""))) + ""respiratory_rate"")))) + (""surgery"" / ""Age""))']"
traditional_gp,{},DT,3,0.9741935483870968,0.8678282185744871,5.1975250244140625e-05,104.10846281051636,"['(""surgery"" - ((((((""total_protein"" / (""abdominal_distension"" - ""nasogastric_reflux_PH"")) / ((""nasogastric_tube"" + ""pulse"") / ""abdominal_distension"")) / ((""peristalsis"" + (""capillary_refill_time"" - ""abdomen"")) - ((""abdomen"" * ""peristalsis"") - ""pain""))) + ""peristalsis"") / ((""total_protein"" - ""rectal_temperature"") * ((((""nasogastric_tube"" + ""temp_extremities"") - (""peristalsis"" - ""rectal_examination"")) * ""temp_extremities"") * (""surgery"" * ""pain"")))) * ((((((""nasogastric_tube"" + ""temp_extremities"") - (""capillary_refill_time"" / ""surgery"")) * ""temp_extremities"") * ((""nasogastric_tube"" + ""temp_extremities"") * ""pain"")) / ((((""pain"" / ""abdominal_distension"") + (""nasogastric_reflux"" * ""nasogastric_reflux_PH"")) / ((""rectal_examination"" / ""nasogastric_reflux"") / ""mucous_membranes"")) * (""pulse"" / (""pain"" + ""respiratory_rate"")))) * ""total_protein"")))']"
traditional_gp,{},DT,5,0.9491447512791196,0.7003519356460532,5.5789947509765625e-05,94.84668183326721,"['(""surgery"" / (((""pulse"" - ((""packed_cell_volume"" + ""rectal_temperature"") / ((""abdominal_distension"" * ""total_protein"") / ((""surgery"" + ""abdominal_distension"") + (""pulse"" - ""outcome""))))) / (((((""mucous_membranes"" + ""Age"") + (""peristalsis"" - ""abdominal_distension"")) / ((""total_protein"" / ""nasogastric_reflux"") + (""abdominal_distension"" - ""nasogastric_reflux_PH""))) + (((""packed_cell_volume"" * ""capillary_refill_time"") - ""abdominal_distension"") + ((""rectal_examination"" + ""peristalsis"") * (""peristalsis"" + ""total_protein"")))) - ""peripheral_pulse"")) + ""nasogastric_reflux_PH""))']"
traditional_gp,{},DT,6,0.9871363893604982,0.7337749969328917,5.555152893066406e-05,123.86292338371277,"['((((((((""temp_extremities"" + ""outcome"") + (""nasogastric_reflux"" + ""packed_cell_volume"")) - ((""abdomen"" + ""rectal_temperature"") / (""packed_cell_volume"" + ""rectal_examination""))) / (((""total_protein"" - ""abdominocentesis_appearance"") / ""peristalsis"") + (""abdomen"" - (""mucous_membranes"" * ""nasogastric_reflux"")))) + ((((""nasogastric_reflux"" + ""respiratory_rate"") + ""abdomen"") + (""rectal_temperature"" * ""mucous_membranes"")) * (((""abdomcentesis_total_protein"" + ""mucous_membranes"") - (""abdomen"" + ""surgery"")) + (""mucous_membranes"" - ""abdomcentesis_total_protein"")))) + ""abdomcentesis_total_protein"") / ((((((""abdominocentesis_appearance"" - ""abdominal_distension"") * ""nasogastric_reflux_PH"") - (""total_protein"" / (""abdominal_distension"" - ""capillary_refill_time""))) + (((""abdomcentesis_total_protein"" / ""outcome"") / ""nasogastric_reflux"") - ""surgery"")) * ((((""rectal_examination"" * ""Age"") * (""abdomcentesis_total_protein"" * ""abdominal_distension"")) + (""nasogastric_reflux_PH"" * (""abdomcentesis_total_protein"" - ""nasogastric_reflux_PH""))) - ""pain"")) - ""abdomen"")) - (((((((""nasogastric_reflux"" * ""rectal_examination"") + (""nasogastric_reflux"" * ""mucous_membranes"")) / ((""pulse"" - ""rectal_temperature"") + (""outcome"" * ""nasogastric_reflux_PH""))) - ((""abdominocentesis_appearance"" + (""abdominocentesis_appearance"" + ""peripheral_pulse"")) / ((""surgery"" / ""peripheral_pulse"") - (""peristalsis"" * ""nasogastric_tube"")))) / ((""packed_cell_volume"" * ""nasogastric_reflux_PH"") * ""abdomcentesis_total_protein"")) / ((((""respiratory_rate"" - ""abdominocentesis_appearance"") - ((""peristalsis"" * ""mucous_membranes"") - ""pulse"")) + (""mucous_membranes"" - ""abdomcentesis_total_protein"")) * ((((""peripheral_pulse"" + ""abdomcentesis_total_protein"") + (""temp_extremities"" * ""outcome"")) - (""abdominal_distension"" + (""mucous_membranes"" - ""nasogastric_reflux""))) - (((""abdomcentesis_total_protein"" / ""outcome"") / ""peristalsis"") + ((""nasogastric_reflux"" - ""rectal_examination"") - ""pulse""))))) + ""surgery""))']"
traditional_gp,{},DT,8,0.9678952141572724,0.716774754088187,5.2928924560546875e-05,103.37780499458313,"['((""nasogastric_reflux"" / (((((""nasogastric_reflux_PH"" - (""nasogastric_reflux_PH"" - ""peristalsis"")) - ((""abdominocentesis_appearance"" + ""pain"") * ""nasogastric_reflux_PH"")) + ""abdomen"") * ((((""rectal_temperature"" - ""abdominal_distension"") + (""abdominal_distension"" + ""peristalsis"")) - ""rectal_examination"") + (""outcome"" * ((""rectal_examination"" * ""rectal_examination"") + ""total_protein"")))) + (((((""rectal_temperature"" * ""pain"") * (""mucous_membranes"" - ""abdominocentesis_appearance"")) * ""peripheral_pulse"") - (((""peripheral_pulse"" + ""temp_extremities"") * ""peripheral_pulse"") * ((""abdominal_distension"" * ""Age"") / (""packed_cell_volume"" + ""rectal_temperature"")))) + ((((""rectal_temperature"" - ""abdominal_distension"") + (""nasogastric_reflux"" - ""peripheral_pulse"")) + ((""rectal_examination"" - ""abdominocentesis_appearance"") - (""peristalsis"" * ""pain""))) * ((""nasogastric_reflux"" * (""Age"" - ""rectal_temperature"")) / ((""abdomen"" * ""outcome"") / (""Age"" + ""packed_cell_volume""))))))) - ""surgery"")']"
traditional_gp,{},DT,7,0.9871363893604982,0.7692307692307693,5.5789947509765625e-05,114.55183124542236,"['((((((""total_protein"" * ((""nasogastric_tube"" - ""Age"") + ""surgery"")) + ""pulse"") - ""rectal_temperature"") * ((((""nasogastric_tube"" - ""mucous_membranes"") + (""rectal_temperature"" - ""abdomcentesis_total_protein"")) - ((""mucous_membranes"" * ""Age"") + ((""abdomcentesis_total_protein"" + ""abdominal_distension"") + ""peripheral_pulse""))) * ((((""mucous_membranes"" - ""packed_cell_volume"") + ""abdominocentesis_appearance"") / ((""rectal_temperature"" - ""Age"") - (""rectal_temperature"" * ""abdominal_distension""))) / (((""peripheral_pulse"" - ""surgery"") * (""pain"" + ""mucous_membranes"")) * ((""nasogastric_tube"" - ""mucous_membranes"") / (""respiratory_rate"" / ""rectal_temperature"")))))) / ((""peristalsis"" * ((((""abdomen"" - ""abdomen"") - (""peristalsis"" / ""mucous_membranes"")) / ""mucous_membranes"") - ""rectal_temperature"")) / (((""surgery"" - (""surgery"" / (""total_protein"" / ""peripheral_pulse""))) + (""rectal_temperature"" - ""peripheral_pulse"")) / ((((""peripheral_pulse"" + ""abdomcentesis_total_protein"") * (""rectal_temperature"" * ""nasogastric_reflux_PH"")) - ""total_protein"") / ""peripheral_pulse"")))) - ""surgery"")']"
traditional_gp,{},DT,9,0.9743621286677603,0.7708793636765356,4.887580871582031e-05,117.74148416519165,"['(((((((""peripheral_pulse"" * ""peristalsis"") - ""outcome"") / ""abdomen"") / ""nasogastric_reflux_PH"") * ""respiratory_rate"") - ""packed_cell_volume"") - (((((((""nasogastric_reflux_PH"" * ""peristalsis"") * (""total_protein"" / ""total_protein"")) + ""outcome"") / (((""surgery"" / ""abdomen"") + (""capillary_refill_time"" - ""outcome"")) / ""Age"")) / (""temp_extremities"" * (((""Age"" / ""pulse"") - (""mucous_membranes"" + ""capillary_refill_time"")) - ((""mucous_membranes"" - ""peripheral_pulse"") * (""capillary_refill_time"" - ""respiratory_rate""))))) - ""abdominocentesis_appearance"") - (((((""peripheral_pulse"" + (""total_protein"" + ""abdomen"")) - ((""rectal_examination"" - ""total_protein"") + ""pulse"")) / (((""respiratory_rate"" - ""nasogastric_reflux"") + (""nasogastric_tube"" * ""nasogastric_reflux"")) + ""Age"")) / ""rectal_temperature"") - (((((""Age"" - ""abdomen"") * ""pain"") / ((""mucous_membranes"" / ""abdominocentesis_appearance"") - ""outcome"")) - (((""surgery"" / ""abdomen"") + (""capillary_refill_time"" - ""outcome"")) / ""Age"")) + (((""nasogastric_reflux"" / (""abdominocentesis_appearance"" * ""surgery"")) / ((""outcome"" - ""abdomen"") - (""outcome"" / ""nasogastric_reflux""))) / ""rectal_temperature"")))))']"
