method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,0,0.7982332492495419,0.7579779662360308,5.555152893066406e-05,0.18204092979431152,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,1,0.7982332492495419,0.7579779662360308,5.412101745605469e-05,0.16460585594177246,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,2,0.7982332492495419,0.7579779662360308,4.553794860839844e-05,0.11806488037109375,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,3,0.7982332492495419,0.7579779662360308,5.5789947509765625e-05,0.17461800575256348,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,4,0.7982332492495419,0.7579779662360308,5.626678466796875e-05,0.16384029388427734,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,5,0.7982332492495419,0.7579779662360308,5.793571472167969e-05,0.14940404891967773,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,6,0.7982332492495419,0.7579779662360308,5.6743621826171875e-05,0.18250083923339844,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,8,0.7982332492495419,0.7579779662360308,5.650520324707031e-05,0.16082477569580078,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,7,0.7982332492495419,0.7579779662360308,4.458427429199219e-05,0.20202898979187012,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,9,0.7982332492495419,0.7579779662360308,5.602836608886719e-05,0.15299153327941895,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,10,0.7982332492495419,0.7579779662360308,5.412101745605469e-05,0.15259027481079102,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,11,0.7982332492495419,0.7579779662360308,5.745887756347656e-05,0.27950525283813477,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,13,0.7982332492495419,0.7579779662360308,4.3392181396484375e-05,0.16609668731689453,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,12,0.7982332492495419,0.7579779662360308,5.698204040527344e-05,0.16767621040344238,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,14,0.7982332492495419,0.7579779662360308,5.936622619628906e-05,0.15618467330932617,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,15,0.7982332492495419,0.7579779662360308,5.7220458984375e-05,0.15797734260559082,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,16,0.7982332492495419,0.7579779662360308,5.888938903808594e-05,0.150634765625,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,18,0.7982332492495419,0.7579779662360308,5.078315734863281e-05,0.1516711711883545,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,17,0.7982332492495419,0.7579779662360308,6.103515625e-05,0.15871334075927734,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,19,0.7982332492495419,0.7579779662360308,5.245208740234375e-05,0.15883350372314453,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,20,0.7982332492495419,0.7579779662360308,5.340576171875e-05,0.15294742584228516,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,21,0.7982332492495419,0.7579779662360308,3.5762786865234375e-05,0.20096874237060547,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,24,0.7982332492495419,0.7579779662360308,5.1975250244140625e-05,0.15993189811706543,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,25,0.7982332492495419,0.7579779662360308,6.29425048828125e-05,0.1566171646118164,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,27,0.7982332492495419,0.7579779662360308,6.079673767089844e-05,0.22062373161315918,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,26,0.7982332492495419,0.7579779662360308,5.5789947509765625e-05,0.25681304931640625,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,22,0.7982332492495419,0.7579779662360308,6.008148193359375e-05,0.14519906044006348,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,23,0.7982332492495419,0.7579779662360308,3.647804260253906e-05,0.12063431739807129,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,28,0.7982332492495419,0.7579779662360308,3.910064697265625e-05,0.10957908630371094,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,29,0.7982332492495419,0.7579779662360308,6.127357482910156e-05,0.1691277027130127,[]
