method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,0,290287.34400833724,335724.8793972364,4.220008850097656e-05,0.12808609008789062,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,1,290287.34400833724,335724.8793972364,4.649162292480469e-05,0.13045954704284668,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,3,290287.34400833724,335724.8793972364,4.315376281738281e-05,0.13133788108825684,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,6,290287.34400833724,335724.8793972364,5.1975250244140625e-05,0.12990951538085938,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,5,290287.34400833724,335724.8793972364,4.458427429199219e-05,0.13407468795776367,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,7,290287.34400833724,335724.8793972364,4.029273986816406e-05,0.13548851013183594,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,9,290287.34400833724,335724.8793972364,4.744529724121094e-05,0.13271307945251465,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,8,290287.34400833724,335724.8793972364,3.266334533691406e-05,0.09769320487976074,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,10,290287.34400833724,335724.8793972364,4.57763671875e-05,0.12338709831237793,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,11,290287.34400833724,335724.8793972364,4.220008850097656e-05,0.18067216873168945,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,2,290287.34400833724,335724.8793972364,4.6253204345703125e-05,0.1313610076904297,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,12,290287.34400833724,335724.8793972364,4.744529724121094e-05,0.13791418075561523,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,4,290287.34400833724,335724.8793972364,3.3855438232421875e-05,0.0931544303894043,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,13,290287.34400833724,335724.8793972364,4.863739013671875e-05,0.1287977695465088,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,14,290287.34400833724,335724.8793972364,4.744529724121094e-05,0.1376967430114746,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,15,290287.34400833724,335724.8793972364,4.9114227294921875e-05,0.13028812408447266,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,17,290287.34400833724,335724.8793972364,4.2438507080078125e-05,0.1275935173034668,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,18,290287.34400833724,335724.8793972364,3.24249267578125e-05,0.09068608283996582,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,19,290287.34400833724,335724.8793972364,4.00543212890625e-05,0.15828156471252441,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,21,290287.34400833724,335724.8793972364,4.029273986816406e-05,0.1345534324645996,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,20,290287.34400833724,335724.8793972364,4.3392181396484375e-05,0.13115692138671875,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,22,290287.34400833724,335724.8793972364,4.38690185546875e-05,0.13133668899536133,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,23,290287.34400833724,335724.8793972364,4.696846008300781e-05,0.13017654418945312,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,16,290287.34400833724,335724.8793972364,4.696846008300781e-05,0.09999632835388184,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,25,290287.34400833724,335724.8793972364,3.4809112548828125e-05,0.10657143592834473,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,26,290287.34400833724,335724.8793972364,4.553794860839844e-05,0.13097858428955078,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,27,290287.34400833724,335724.8793972364,4.863739013671875e-05,0.1300063133239746,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,28,290287.34400833724,335724.8793972364,3.266334533691406e-05,0.12169432640075684,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,29,290287.34400833724,335724.8793972364,5.7697296142578125e-05,0.13007712364196777,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,24,290287.34400833724,335724.8793972364,4.4345855712890625e-05,0.13080215454101562,"[""['Day.Of.Week', 'Month', 'Day', 'Returning.Visits']""]"
