method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
No_FL,{},DT,0,209364.31599217356,466751.8305696651,4.267692565917969e-05,0.08313894271850586,[]
No_FL,{},DT,2,209364.31599217356,466751.8305696651,4.3392181396484375e-05,0.09021401405334473,[]
No_FL,{},DT,3,209364.31599217356,466751.8305696651,4.982948303222656e-05,0.1353740692138672,[]
No_FL,{},DT,4,209364.31599217356,466751.8305696651,4.363059997558594e-05,0.08469152450561523,[]
No_FL,{},DT,5,209364.31599217356,466751.8305696651,4.3392181396484375e-05,0.08515477180480957,[]
No_FL,{},DT,6,209364.31599217356,466751.8305696651,4.1961669921875e-05,0.0872650146484375,[]
No_FL,{},DT,8,209364.31599217356,466751.8305696651,4.8160552978515625e-05,0.09224796295166016,[]
No_FL,{},DT,9,209364.31599217356,466751.8305696651,4.100799560546875e-05,0.08365702629089355,[]
No_FL,{},DT,1,209364.31599217356,466751.8305696651,3.814697265625e-05,0.08345961570739746,[]
No_FL,{},DT,10,209364.31599217356,466751.8305696651,4.7206878662109375e-05,0.08633160591125488,[]
No_FL,{},DT,11,209364.31599217356,466751.8305696651,4.7206878662109375e-05,0.09264898300170898,[]
No_FL,{},DT,12,209364.31599217356,466751.8305696651,3.147125244140625e-05,0.07045316696166992,[]
No_FL,{},DT,13,209364.31599217356,466751.8305696651,4.982948303222656e-05,0.11258149147033691,[]
No_FL,{},DT,14,209364.31599217356,466751.8305696651,4.124641418457031e-05,0.08793997764587402,[]
No_FL,{},DT,15,209364.31599217356,466751.8305696651,4.291534423828125e-05,0.08553814888000488,[]
No_FL,{},DT,7,209364.31599217356,466751.8305696651,4.100799560546875e-05,0.08603334426879883,[]
No_FL,{},DT,17,209364.31599217356,466751.8305696651,4.458427429199219e-05,0.08970284461975098,[]
No_FL,{},DT,18,209364.31599217356,466751.8305696651,4.8160552978515625e-05,0.08368539810180664,[]
No_FL,{},DT,19,209364.31599217356,466751.8305696651,3.719329833984375e-05,0.06445670127868652,[]
No_FL,{},DT,20,209364.31599217356,466751.8305696651,4.1484832763671875e-05,0.1170952320098877,[]
No_FL,{},DT,21,209364.31599217356,466751.8305696651,4.863739013671875e-05,0.09193611145019531,[]
No_FL,{},DT,23,209364.31599217356,466751.8305696651,4.6253204345703125e-05,0.08102846145629883,[]
No_FL,{},DT,22,209364.31599217356,466751.8305696651,4.172325134277344e-05,0.08466053009033203,[]
No_FL,{},DT,24,209364.31599217356,466751.8305696651,4.363059997558594e-05,0.08246970176696777,[]
No_FL,{},DT,25,209364.31599217356,466751.8305696651,4.506111145019531e-05,0.0894157886505127,[]
No_FL,{},DT,16,209364.31599217356,466751.8305696651,3.62396240234375e-05,0.07193160057067871,[]
No_FL,{},DT,26,209364.31599217356,466751.8305696651,3.218650817871094e-05,0.06322431564331055,[]
No_FL,{},DT,27,209364.31599217356,466751.8305696651,3.981590270996094e-05,0.07990479469299316,[]
No_FL,{},DT,28,209364.31599217356,466751.8305696651,2.8848648071289062e-05,0.061151981353759766,[]
No_FL,{},DT,29,209364.31599217356,466751.8305696651,3.8623809814453125e-05,0.07943105697631836,[]
