method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,0,1460664.047224553,2371112.197260516,4.0531158447265625e-05,0.11811327934265137,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,1,1460664.047224553,2371112.197260516,4.3392181396484375e-05,0.10542964935302734,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,2,1460664.047224553,2371112.197260516,4.315376281738281e-05,0.10897994041442871,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,3,1460664.047224553,2371112.197260516,3.814697265625e-05,0.09677529335021973,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,5,1460664.047224553,2371112.197260516,3.314018249511719e-05,0.08920884132385254,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,6,1460664.047224553,2371112.197260516,3.4332275390625e-05,0.08838391304016113,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,4,1460664.047224553,2371112.197260516,4.6253204345703125e-05,0.10122537612915039,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,7,1460664.047224553,2371112.197260516,4.267692565917969e-05,0.09991049766540527,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,9,1460664.047224553,2371112.197260516,4.458427429199219e-05,0.10819530487060547,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,8,1460664.047224553,2371112.197260516,4.7206878662109375e-05,0.11836504936218262,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,10,1460664.047224553,2371112.197260516,4.7206878662109375e-05,0.10750579833984375,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,12,1460664.047224553,2371112.197260516,4.649162292480469e-05,0.10602974891662598,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,13,1460664.047224553,2371112.197260516,3.814697265625e-05,0.10079097747802734,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,14,1460664.047224553,2371112.197260516,4.839897155761719e-05,0.11380600929260254,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,15,1460664.047224553,2371112.197260516,4.482269287109375e-05,0.1047513484954834,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,11,1460664.047224553,2371112.197260516,3.2901763916015625e-05,0.08112931251525879,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,16,1460664.047224553,2371112.197260516,4.8160552978515625e-05,0.09996867179870605,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,17,1460664.047224553,2371112.197260516,4.220008850097656e-05,0.10030698776245117,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,18,1460664.047224553,2371112.197260516,4.0531158447265625e-05,0.08199000358581543,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,19,1460664.047224553,2371112.197260516,4.982948303222656e-05,0.11572575569152832,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,20,1460664.047224553,2371112.197260516,4.506111145019531e-05,0.11874580383300781,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,21,1460664.047224553,2371112.197260516,4.7206878662109375e-05,0.1087336540222168,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,22,1460664.047224553,2371112.197260516,4.76837158203125e-05,0.09492945671081543,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,23,1460664.047224553,2371112.197260516,4.5299530029296875e-05,0.10733985900878906,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,24,1460664.047224553,2371112.197260516,3.123283386230469e-05,0.11490964889526367,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,25,1460664.047224553,2371112.197260516,4.458427429199219e-05,0.10900259017944336,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,26,1460664.047224553,2371112.197260516,4.482269287109375e-05,0.10102510452270508,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,27,1460664.047224553,2371112.197260516,4.935264587402344e-05,0.1068122386932373,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,28,1460664.047224553,2371112.197260516,5.173683166503906e-05,0.09356379508972168,[]
PCA,"{'feature_learning__n_components': [1, 2, 3, 4, 5]}",DT,29,1460664.047224553,2371112.197260516,4.363059997558594e-05,0.10376262664794922,[]
