fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
261538.08999440033,10,1332,1,73.65999841690063,29,111155.15438792856
250828.47887051685,10,1527,2,192.9463665485382,29,107187.6549848614
250828.47887051685,10,1527,3,353.4029595851898,29,107187.6549848614
250828.47887051685,10,1527,4,559.271591424942,29,133904.74849387148
249215.32238863027,10,2152,5,815.5174787044525,29,103425.91911501778
249215.32238863027,10,2152,6,1118.7583601474762,29,103425.91911501778
249215.32238863027,10,2152,7,1470.0988047122955,29,103425.91911501778
249215.32238863027,10,2152,8,1877.0081560611725,29,105164.99964251561
247581.73775540918,10,2234,9,2340.9261560440063,29,104981.46214664774
247581.73775540918,10,2234,10,2862.762717962265,29,106012.15705609636
247581.73775540918,10,2234,11,3440.3975393772125,29,106012.15705609636
247440.1761642354,10,2042,12,4072.2875447273254,29,99577.78532993225
247440.1761642354,10,2042,13,4758.25221657753,29,106873.10550518149
247226.0781716521,10,1926,14,5496.739609003067,29,105380.01107533327
246008.2294658372,10,1978,15,6287.849779129028,29,102092.7101340552
243489.51434520815,10,1910,16,7131.696805000305,29,96954.10363700952
241758.51855462117,10,2188,17,8031.152520418167,29,100287.84322118873
239203.9791394957,10,2076,18,8986.822321414948,29,95654.87118173717
239203.9791394957,10,2076,19,9998.776656627655,29,101327.13570039156
239203.9791394957,10,2076,20,11067.458681583405,29,101327.13570039156
238962.87723039597,10,2082,21,12191.349843263626,29,94603.43189372038
237239.52929923977,10,1864,22,13368.566190958023,29,95576.51857821112
237239.52929923977,10,1864,23,14596.633985042572,29,95576.51857821112
237239.52929923977,10,1864,24,15874.633526563644,29,95576.51857821112
234861.00885854498,10,1734,25,17203.781283140182,29,100447.9480479554
234861.00885854498,10,1734,26,18586.49416565895,29,100447.9480479554
233068.11870139898,10,1854,27,20022.242297410965,29,100369.59544442935
233068.11870139898,10,1854,28,21510.237701177597,29,100369.59544442935
233068.11870139898,10,1854,29,23052.607350826263,29,100369.59544442935
231085.44416395584,10,1962,30,24652.23881006241,29,92837.02767907993
231085.44416395584,10,1962,31,26310.86132311821,29,91678.28509008537
231085.44416395584,10,1962,32,28028.011392593384,29,91678.28509008537
231085.44416395584,10,1962,33,29803.38533949852,29,92837.02767907993
231085.44416395584,10,1962,34,31638.40779566765,29,92837.02767907993
231085.44416395584,10,1962,35,33531.87289810181,29,92837.02767907993
231015.64320044487,10,1962,36,35483.63075089455,29,92837.02767907993
231015.64320044487,10,1962,37,37493.847742795944,29,93674.74136329125
231015.64320044487,10,1962,38,39563.50760936737,29,93674.74136329125
231015.64320044487,10,1962,39,41690.02829051018,29,116657.94456489601
231015.64320044487,10,1962,40,43873.13716125488,29,116657.94456489601
230772.7544707705,10,1809,41,46112.423660993576,29,93674.74136329125
230772.7544707705,10,1809,42,48409.34797501564,29,94430.97724896097
230772.7544707705,10,1809,43,50763.938621759415,29,95934.45848377333
230772.7544707705,10,1809,44,53176.34850668907,29,95055.79099968197
230754.77682778132,10,2019,45,55648.746805906296,29,93674.74136329125
230754.77682778132,10,2019,46,58184.456062078476,29,94009.81319772986
230754.77682778132,10,2019,47,60784.00713253021,29,94009.81319772986
230754.77682778132,10,2019,48,63448.23248553276,29,94009.81319772986
230754.77682778132,10,2019,49,66177.08434653282,29,93847.16270600322
230754.77682778132,10,2019,50,68970.96316957474,29,93847.16270600322
230754.77682778132,10,2019,51,71829.84178733826,29,94603.39859167297
230754.77682778132,10,2019,52,74754.9449725151,29,94603.39859167297
230754.77682778132,10,2019,53,77745.74892139435,29,94603.39859167297
