fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
228840.2127499176,10,660,1,846.5413882732391,3,102411.4282076404
216034.5236195092,10,633,2,2213.5645241737366,3,106944.98004897175
210407.47971081117,10,906,3,4080.8797516822815,3,101477.52513296866
209306.6104520679,10,880,4,6485.492448806763,3,94320.92785808824
207524.28734761084,10,880,5,9438.536196947098,3,96228.0149664376
207402.27782544796,10,880,6,12992.86414885521,3,94780.28519559989
205905.3270289402,10,601,7,17200.793143749237,3,98085.08340784522
205905.3270289402,10,601,8,22071.047239780426,3,98085.08340784522
205905.3270289402,10,601,9,27653.6896443367,3,98085.08340784522
205823.962408405,10,566,10,33883.27013158798,3,102278.83114242277
196127.91318878808,10,632,11,40679.406546354294,3,95165.26961410664
196127.91318878808,10,632,12,48055.43968820572,3,101188.4684692306
194956.02805303485,10,692,13,56022.21396279335,3,85109.67488501575
191929.52234182344,10,610,14,64565.96047210693,3,92324.49892511917
191929.52234182344,10,610,15,73688.72310304642,3,96273.2759004485
191929.52234182344,10,610,16,83412.72134375572,3,100328.8199739759
189322.64797536578,10,722,17,93768.13746619225,3,93561.45309264796
189322.64797536578,10,722,18,104784.69537115097,3,93561.45309264796
189322.64797536578,10,722,19,116496.60590147972,3,93561.45309264796
189322.64797536578,10,722,20,128911.85299277306,3,93561.45309264796
189322.64797536578,10,722,21,142023.93403077126,3,93561.45309264796
189211.1537621788,10,812,22,155824.39496445656,3,93561.45309264796
189211.1537621788,10,812,23,170316.12283205986,3,93561.45309264796
188094.36042178553,10,728,24,185493.1094686985,3,91108.84260931444
188026.3541656721,10,728,25,201362.54274964333,3,91863.90954277838
187914.85090749536,10,566,26,217931.74590301514,3,91863.90954277838
187914.85090749536,10,566,27,235199.1066687107,3,91863.90954277838
187914.85090749536,10,566,28,253132.9856648445,3,88933.2066109335
186686.56335391515,10,800,29,271706.3737089634,3,92449.56542689391
186686.56335391515,10,800,30,290904.04110121727,3,92449.56542689391
186686.56335391515,10,800,31,310549.04638028145,3,92449.56542689391
186686.56335391515,10,800,32,330579.24431705475,3,93254.19578878065
