fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
281351.01810514054,10,1532,1,4.340882778167725,4,107903.96011827746
279424.1414684322,10,1269,2,12.548682689666748,4,98339.53976249235
278309.3110405867,10,1364,3,23.552363395690918,4,108895.94032039055
271492.5494382468,10,1163,4,37.28213930130005,4,106714.39937816837
271492.5494382468,10,1163,5,53.74479913711548,4,106714.39937816837
270602.2046343094,10,1025,6,72.9215235710144,4,106201.41727893033
270389.42110466206,10,1610,7,94.81620049476624,4,106714.39937816837
270025.1480733146,10,1628,8,119.15053939819336,4,106714.39937816837
270025.1480733146,10,1628,9,145.90833067893982,4,102823.55425746557
269629.3452860126,10,1610,10,175.43758869171143,4,106714.39937816837
269629.3452860126,10,1610,11,208.91629767417908,4,100029.64115096373
269284.0015213921,10,1644,12,245.58874607086182,4,103717.47068546577
269284.0015213921,10,1644,13,285.4992640018463,4,103717.47068546577
269284.0015213921,10,1644,14,328.9967849254608,4,104640.65511826494
269284.0015213921,10,1644,15,375.9053120613098,4,104640.65511826494
267827.15864932997,10,1739,16,426.2951738834381,4,104653.30586132716
267824.51399748854,10,1739,17,480.17137026786804,4,109200.1118888688
267824.51399748854,10,1739,18,537.842221736908,4,109197.24235724604
266855.18411487644,10,1852,19,599.1197357177734,4,109401.50453429105
266855.18411487644,10,1852,20,664.1599414348602,4,109401.50453429105
266743.25604324846,10,1884,21,733.0812418460846,4,109312.53523216338
266743.25604324846,10,1884,22,806.0708708763123,4,109157.7351044498
266067.0695625057,10,2148,23,882.9211640357971,4,108705.99911211604
266056.6042986133,10,2404,24,963.6431550979614,4,108907.39175753828
266056.6042986133,10,2404,25,1048.5669252872467,4,108907.39175753828
265056.47409451805,10,1960,26,1137.5505502223969,4,103134.6394808448
265056.47409451805,10,1960,27,1230.7990684509277,4,103134.6394808448
265056.47409451805,10,1960,28,1328.3764700889587,4,103134.6394808448
265056.47409451805,10,1960,29,1430.3235609531403,4,103605.83568859458
264680.57359053567,10,2076,30,1536.2542428970337,4,102796.72214585557
264680.57359053567,10,2076,31,1646.073977947235,4,103605.83568859458
264680.57359053567,10,2076,32,1759.765697479248,4,97690.5608170437
261941.75930059562,10,2124,33,1877.6037774085999,4,103445.42745977062
261941.75930059562,10,2124,34,1999.422725200653,4,103445.42745977062
261941.75930059562,10,2124,35,2125.272319316864,4,104319.21443257344
261565.8587966133,10,2162,36,2255.269986629486,4,102796.72214585557
261565.8587966133,10,2162,37,2389.1294338703156,4,102796.72214585557
261565.8587966133,10,2162,38,2526.9622764587402,4,103922.68230673559
261565.8587966133,10,2162,39,2669.0590994358063,4,103922.68230673559
260671.95324998393,10,2232,40,2815.2129921913147,4,103445.42745977062
260296.05274600157,10,1913,41,2965.5353157520294,4,102796.72214585557
260296.05274600157,10,1913,42,3119.8796701431274,4,103866.99093637476
260296.05274600157,10,1913,43,3278.352464199066,4,103866.99093637476
260142.15280717638,10,1931,44,3440.800767183304,4,103880.14908207777
260142.15280717638,10,1931,45,3607.424744129181,4,103880.14908207777
259476.80088420288,10,1931,46,3777.9017357826233,4,105220.97430826069
259476.80088420288,10,1931,47,3952.1456484794617,4,105220.97430826069
259476.80088420288,10,1931,48,4130.203179359436,4,105911.40259682291
258206.99483359116,10,1769,49,4312.479167938232,4,105220.97430826069
258206.99483359116,10,1769,50,4498.501332521439,4,105220.97430826069
258206.99483359116,10,1769,51,4688.249605417252,4,105220.97430826069
258206.99483359116,10,1769,52,4881.56760764122,4,100876.49609545649
258206.99483359116,10,1769,53,5078.735899686813,4,101648.30937370306
257026.05562125536,10,2024,54,5279.527538299561,4,105610.40304981718
257026.05562125536,10,2024,55,5484.011775493622,4,105610.40304981718
257026.05562125536,10,2024,56,5692.323545694351,4,105204.30697208099
257026.05562125536,10,2024,57,5904.217641353607,4,105204.30697208099
257026.05562125536,10,2024,58,6119.807767868042,4,105204.30697208099
257026.05562125536,10,2024,59,6339.303938627243,4,105204.30697208099
257026.05562125536,10,2024,60,6562.545630455017,4,105204.30697208099
256465.86787430037,10,1836,61,6789.568099498749,4,105826.6484596814
256465.86787430037,10,1836,62,7020.491891384125,4,106996.2118364553
256465.86787430037,10,1836,63,7255.627561569214,4,106838.13677562082
256465.86787430037,10,1836,64,7494.58342051506,4,106838.13677562082
256465.86787430037,10,1836,65,7737.359390735626,4,106838.13677562082
256465.86787430037,10,1836,66,7984.233270645142,4,106096.37389207681
256465.86787430037,10,1836,67,8235.039016962051,4,106300.11330570326
256465.86787430037,10,1836,68,8488.843010663986,4,106300.11330570326
256465.86787430037,10,1836,69,8745.659983158112,4,106300.11330570326
256465.86787430037,10,1836,70,9005.304816961288,4,106300.11330570326
256465.86787430037,10,1836,71,9268.980862140656,4,106300.11330570326
256465.86787430037,10,1836,72,9536.669907808304,4,107328.26134314144
256465.86787430037,10,1836,73,9808.70893239975,4,107328.26134314144
256465.86787430037,10,1836,74,10084.664345264435,4,107328.26134314144
256465.86787430037,10,1836,75,10364.76966047287,4,107328.26134314144
256465.86787430037,10,1836,76,10648.754743814468,4,107328.26134314144
256465.86787430037,10,1836,77,10936.637575864792,4,107328.26134314144
256465.86787430037,10,1836,78,11228.41982293129,4,107328.26134314144
256148.42342866427,10,1827,79,11524.357870578766,4,105522.47932941877
256148.42342866427,10,1827,80,11824.059957504272,4,105296.06861693156
256148.42342866427,10,1827,81,12127.484187364578,4,106332.49086675658
256148.42342866427,10,1827,82,12434.970221281052,4,105258.61886629155
256148.42342866427,10,1827,83,12746.329601287842,4,105854.55137623644
255501.038056491,10,1623,84,13061.419668912888,4,94301.57985533567
255501.038056491,10,1623,85,13380.450335264206,4,94901.56291293517
255486.22812073678,10,1623,86,13703.189542293549,4,105296.06861693156
255486.22812073678,10,1623,87,14029.588364124298,4,105610.40304981718
255301.89621277337,10,1713,88,14359.56001996994,4,94113.86012858953
255301.89621277337,10,1713,89,14693.335986375809,4,94113.86012858953
255287.08627701915,10,1746,90,15030.760326385498,4,94113.86012858953
255287.08627701915,10,1746,91,15371.85833978653,4,93789.27174240688
255287.08627701915,10,1746,92,15716.664554595947,4,94811.29246011976
255287.08627701915,10,1746,93,16065.382467269897,4,94811.29246011976
255287.08627701915,10,1746,94,16417.795041561127,4,95052.27956260284
255287.08627701915,10,1746,95,16774.10525417328,4,95052.27956260284
255287.08627701915,10,1746,96,17134.129600524902,4,95052.27956260284
255287.08627701915,10,1746,97,17498.055776119232,4,95052.27956260284
255287.08627701915,10,1746,98,17865.7174243927,4,95052.27956260284
255220.2662790233,10,1678,99,18237.28157877922,4,94607.97290534229
255220.2662790233,10,1678,100,18612.578322172165,4,94607.97290534229
255220.2662790233,10,1678,101,18991.7827129364,4,94607.97290534229
255220.2662790233,10,1678,102,19374.744666814804,4,93789.27174240688
255220.2662790233,10,1678,103,19761.49148273468,4,94315.35041401043
255220.2662790233,10,1678,104,20152.22660636902,4,94315.35041401043
255220.2662790233,10,1678,105,20546.788477420807,4,94315.35041401043
255220.2662790233,10,1678,106,20945.176640987396,4,94315.35041401043
254742.0251241629,10,1678,107,21347.399060487747,4,94113.86012858953
254742.0251241629,10,1678,108,21753.600072860718,4,94113.86012858953
254742.0251241629,10,1678,109,22163.652267217636,4,94607.97290534229
254742.0251241629,10,1678,110,22577.506774902344,4,94106.5428564443
254742.0251241629,10,1678,111,22995.46965432167,4,94106.5428564443
254742.0251241629,10,1678,112,23417.300742149353,4,94106.5428564443
254742.0251241629,10,1678,113,23842.941954612732,4,94106.5428564443
254742.0251241629,10,1678,114,24272.63193821907,4,94106.5428564443
254742.0251241629,10,1678,115,24706.167730093002,4,94106.5428564443
254742.0251241629,10,1678,116,25143.469878435135,4,94106.5428564443
254742.0251241629,10,1678,117,25584.604961633682,4,94106.5428564443
254742.0251241629,10,1678,118,26029.795471906662,4,94106.5428564443
254742.0251241629,10,1678,119,26478.798437595367,4,94106.5428564443
254742.0251241629,10,1678,120,26931.66519856453,4,94106.5428564443
254742.0251241629,10,1678,121,27388.361867189407,4,94106.5428564443
254742.0251241629,10,1678,122,27849.179599046707,4,94106.5428564443
254742.0251241629,10,1678,123,28313.87154817581,4,94106.5428564443
