method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
random_search,{},DT,1,290287.34400833724,335724.8793972364,4.982948303222656e-05,116.70412373542786,"['[""Month"",""Month"",""Day"",""Returning.Visits"",""Returning.Visits"",""Returning.Visits"",""Day.Of.Week"",""Day.Of.Week"",""Month"",""Month"",""Day.Of.Week"",""Returning.Visits"",""Day.Of.Week"",""Day"",""Month""]']"
random_search,{},DT,0,290287.34400833724,335724.8793972364,4.887580871582031e-05,126.6436722278595,"['[""Day.Of.Week"",""Day.Of.Week"",""Day.Of.Week"",""Returning.Visits"",""Day.Of.Week"",""Day.Of.Week"",""Month"",""Month"",""Month""]']"
random_search,{},DT,2,290287.34400833724,335724.8793972364,5.173683166503906e-05,113.78193974494934,"['[""Day.Of.Week"",""Day"",""Day"",""Day"",""Day.Of.Week"",""Month"",""Day.Of.Week"",""Returning.Visits"",""Month"",""Day.Of.Week"",""Month"",""Day.Of.Week"",""Day.Of.Week""]']"
random_search,{},DT,3,290287.34400833724,335724.8793972364,4.792213439941406e-05,118.50942945480347,"['[""Month"",""Day"",""Returning.Visits"",""Returning.Visits"",""Month"",""Returning.Visits"",""Day.Of.Week"",""Returning.Visits"",""Month"",""Day.Of.Week"",""Returning.Visits""]']"
random_search,{},DT,4,290287.34400833724,335724.8793972364,4.601478576660156e-05,122.6249692440033,"['[""Day"",""Day"",""Day"",""Returning.Visits"",""Day"",""Day.Of.Week"",""Month"",""Day""]']"
random_search,{},DT,5,290287.34400833724,335724.8793972364,4.4345855712890625e-05,127.57225513458252,"['[""Day.Of.Week"",""Day.Of.Week"",""Day.Of.Week"",""Returning.Visits"",""Day.Of.Week"",""Month"",""Returning.Visits"",""Day.Of.Week"",""Month"",""Month"",""Day"",""Returning.Visits"",""Day""]']"
random_search,{},DT,6,290287.34400833724,335724.8793972364,4.5299530029296875e-05,128.1760048866272,"['[""Day.Of.Week"",""Month"",""Day.Of.Week"",""Returning.Visits"",""Day"",""Month"",""Day.Of.Week"",""Month"",""Returning.Visits"",""Day"",""Month"",""Day"",""Returning.Visits"",""Day"",""Day""]']"
random_search,{},DT,7,290287.34400833724,335724.8793972364,4.363059997558594e-05,127.73309135437012,"['[""Month"",""Month"",""Returning.Visits"",""Day.Of.Week"",""Month"",""Returning.Visits"",""Day"",""Returning.Visits"",""Day.Of.Week"",""Returning.Visits"",""Returning.Visits"",""Day"",""Returning.Visits""]']"
random_search,{},DT,8,290287.34400833724,335724.8793972364,4.57763671875e-05,122.15150189399719,"['[""Day.Of.Week"",""Returning.Visits"",""Month"",""Returning.Visits""]']"
random_search,{},DT,10,290287.34400833724,335724.8793972364,4.506111145019531e-05,121.59092879295349,"['[""Day"",""Day.Of.Week"",""Returning.Visits"",""Returning.Visits"",""Day"",""Month"",""Month""]']"
random_search,{},DT,9,290287.34400833724,335724.8793972364,4.649162292480469e-05,125.38343358039856,"['[""Day.Of.Week"",""Returning.Visits"",""Month""]']"
random_search,{},DT,11,290287.34400833724,335724.8793972364,4.744529724121094e-05,128.50780844688416,"['[""Returning.Visits"",""Day.Of.Week"",""Month""]']"
random_search,{},DT,12,290287.34400833724,335724.8793972364,5.1975250244140625e-05,123.13980889320374,"['[""Returning.Visits"",""Day.Of.Week"",""Month"",""Month"",""Month"",""Day.Of.Week"",""Day.Of.Week""]']"
random_search,{},DT,13,290287.34400833724,335724.8793972364,4.935264587402344e-05,127.36622977256775,"['[""Day"",""Day"",""Day.Of.Week"",""Month"",""Month"",""Day"",""Returning.Visits"",""Day"",""Month"",""Returning.Visits"",""Day""]']"
random_search,{},DT,14,290287.34400833724,335724.8793972364,4.9114227294921875e-05,124.07099652290344,"['[""Day.Of.Week"",""Day"",""Month"",""Returning.Visits"",""Day""]']"
random_search,{},DT,15,290287.34400833724,335724.8793972364,5.841255187988281e-05,122.46300315856934,"['[""Day"",""Day.Of.Week"",""Day"",""Day"",""Day"",""Returning.Visits"",""Month"",""Month"",""Day.Of.Week"",""Day.Of.Week"",""Day"",""Day"",""Returning.Visits"",""Month"",""Day""]']"
random_search,{},DT,16,290287.34400833724,335724.8793972364,5.078315734863281e-05,121.0903308391571,"['[""Day.Of.Week"",""Returning.Visits"",""Month"",""Month"",""Returning.Visits"",""Day.Of.Week"",""Returning.Visits"",""Day.Of.Week"",""Month"",""Day.Of.Week"",""Day.Of.Week"",""Returning.Visits"",""Day.Of.Week"",""Returning.Visits"",""Month""]']"
random_search,{},DT,17,290287.34400833724,335724.8793972364,7.43865966796875e-05,121.23757123947144,"['[""Day"",""Returning.Visits"",""Day.Of.Week"",""Month"",""Returning.Visits""]']"
random_search,{},DT,19,290287.34400833724,335724.8793972364,5.0067901611328125e-05,115.07430720329285,"['[""Day.Of.Week"",""Day"",""Day.Of.Week"",""Day"",""Returning.Visits"",""Returning.Visits"",""Returning.Visits"",""Day"",""Returning.Visits"",""Day.Of.Week"",""Returning.Visits"",""Month"",""Returning.Visits""]']"
random_search,{},DT,18,290287.34400833724,335724.8793972364,4.9114227294921875e-05,127.08414101600647,"['[""Day.Of.Week"",""Returning.Visits"",""Day"",""Returning.Visits"",""Day.Of.Week"",""Day"",""Month"",""Month"",""Day.Of.Week"",""Month"",""Returning.Visits"",""Day.Of.Week""]']"
random_search,{},DT,20,290287.34400833724,335724.8793972364,4.863739013671875e-05,125.55199933052063,"['[""Day"",""Month"",""Month"",""Day.Of.Week"",""Returning.Visits"",""Day"",""Month"",""Day.Of.Week"",""Day.Of.Week"",""Day.Of.Week""]']"
random_search,{},DT,21,290287.34400833724,335724.8793972364,5.793571472167969e-05,123.69009733200073,"['[""Day.Of.Week"",""Day.Of.Week"",""Day.Of.Week"",""Returning.Visits"",""Month"",""Day.Of.Week"",""Month"",""Day""]']"
random_search,{},DT,22,290287.34400833724,335724.8793972364,5.030632019042969e-05,120.8616578578949,"['[""Month"",""Returning.Visits"",""Month"",""Returning.Visits"",""Day"",""Returning.Visits"",""Month"",""Day"",""Returning.Visits"",""Day"",""Returning.Visits"",""Day.Of.Week"",""Returning.Visits"",""Returning.Visits""]']"
random_search,{},DT,23,290287.34400833724,335724.8793972364,4.673004150390625e-05,118.44752025604248,"['[""Day.Of.Week"",""Day.Of.Week"",""Day"",""Month"",""Day"",""Day.Of.Week"",""Day"",""Day.Of.Week"",""Month"",""Returning.Visits"",""Returning.Visits"",""Returning.Visits"",""Day.Of.Week""]']"
random_search,{},DT,24,290287.34400833724,335724.8793972364,4.458427429199219e-05,125.50375199317932,"['[""Returning.Visits"",""Day"",""Month"",""Day.Of.Week"",""Day"",""Day.Of.Week"",""Day.Of.Week"",""Day.Of.Week"",""Day.Of.Week"",""Returning.Visits"",""Day.Of.Week"",""Returning.Visits"",""Month""]']"
random_search,{},DT,25,290287.34400833724,335724.8793972364,4.410743713378906e-05,126.83731937408447,"['[""Day.Of.Week"",""Day.Of.Week"",""Month"",""Month"",""Returning.Visits"",""Month"",""Day.Of.Week"",""Month"",""Returning.Visits"",""Day"",""Returning.Visits""]']"
random_search,{},DT,26,290287.34400833724,335724.8793972364,3.0517578125e-05,120.5569269657135,"['[""Day.Of.Week"",""Returning.Visits"",""Day"",""Month"",""Day.Of.Week"",""Day.Of.Week"",""Returning.Visits"",""Returning.Visits"",""Month"",""Month"",""Month"",""Returning.Visits"",""Day"",""Day.Of.Week""]']"
random_search,{},DT,27,290287.34400833724,335724.8793972364,4.57763671875e-05,118.1100766658783,"['[""Returning.Visits"",""Day"",""Day"",""Day.Of.Week"",""Day.Of.Week"",""Day.Of.Week"",""Day"",""Day"",""Month"",""Returning.Visits"",""Day.Of.Week"",""Month""]']"
random_search,{},DT,28,290287.34400833724,335724.8793972364,4.5299530029296875e-05,123.3881778717041,"['[""Day.Of.Week"",""Returning.Visits"",""Returning.Visits"",""Day"",""Day"",""Day.Of.Week"",""Day"",""Returning.Visits"",""Day"",""Day.Of.Week"",""Day.Of.Week"",""Day.Of.Week"",""Month""]']"
random_search,{},DT,29,290287.34400833724,335724.8793972364,5.1975250244140625e-05,124.68769431114197,"['[""Day.Of.Week"",""Month"",""Returning.Visits"",""Month"",""Returning.Visits"",""Day"",""Day.Of.Week"",""Returning.Visits"",""Day""]']"
