fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed
290287.34400833724,2,16,1,0.6174807548522949,15
290287.34400833724,2,12,2,1.2313518524169922,15
290287.34400833724,2,14,3,1.879453420639038,15
290287.34400833724,2,16,4,2.4994606971740723,15
290287.34400833724,2,13,5,3.148893117904663,15
290287.34400833724,2,10,6,3.8773674964904785,15
290287.34400833724,2,15,7,4.472778558731079,15
290287.34400833724,2,7,8,4.945136547088623,15
290287.34400833724,2,9,9,5.403069734573364,15
290287.34400833724,2,13,10,5.860613584518433,15
290287.34400833724,2,6,11,6.330521106719971,15
290287.34400833724,2,15,12,6.89544939994812,15
290287.34400833724,2,9,13,7.3413777351379395,15
290287.34400833724,2,12,14,7.869215965270996,15
290287.34400833724,2,8,15,8.371535539627075,15
290287.34400833724,2,11,16,8.848584175109863,15
290287.34400833724,2,15,17,9.301195859909058,15
290287.34400833724,2,10,18,9.898062705993652,15
290287.34400833724,2,13,19,10.351774454116821,15
290287.34400833724,2,15,20,10.804839611053467,15
290287.34400833724,2,6,21,11.253391027450562,15
290287.34400833724,2,11,22,11.712368726730347,15
290287.34400833724,2,9,23,12.164643049240112,15
290287.34400833724,2,10,24,12.686979532241821,15
290287.34400833724,2,13,25,13.167588949203491,15
290287.34400833724,2,8,26,13.658440589904785,15
290287.34400833724,2,8,27,14.118916511535645,15
290287.34400833724,2,15,28,14.578677415847778,15
290287.34400833724,2,11,29,15.03507375717163,15
290287.34400833724,2,14,30,15.577723264694214,15
290287.34400833724,2,9,31,16.109699010849,15
290287.34400833724,2,10,32,16.735804796218872,15
290287.34400833724,2,14,33,17.352277517318726,15
290287.34400833724,2,7,34,17.807727336883545,15
290287.34400833724,2,10,35,18.27994203567505,15
290287.34400833724,2,14,36,18.95550847053528,15
290287.34400833724,2,7,37,19.41691827774048,15
290287.34400833724,2,15,38,19.91825008392334,15
290287.34400833724,2,14,39,20.359697818756104,15
290287.34400833724,2,6,40,20.824475049972534,15
290287.34400833724,2,10,41,21.28895854949951,15
290287.34400833724,2,13,42,21.84619951248169,15
290287.34400833724,2,16,43,22.33058786392212,15
290287.34400833724,2,10,44,22.77079486846924,15
290287.34400833724,2,16,45,23.318752765655518,15
290287.34400833724,2,6,46,23.84492778778076,15
290287.34400833724,2,11,47,24.410090923309326,15
290287.34400833724,2,13,48,24.973021745681763,15
290287.34400833724,2,5,49,25.416789770126343,15
290287.34400833724,2,16,50,25.97907519340515,15
290287.34400833724,2,14,51,26.603702068328857,15
290287.34400833724,2,9,52,27.210278749465942,15
290287.34400833724,2,11,53,27.954739570617676,15
290287.34400833724,2,13,54,28.62136459350586,15
290287.34400833724,2,13,55,29.253093957901,15
290287.34400833724,2,16,56,29.854874849319458,15
290287.34400833724,2,10,57,30.47597908973694,15
290287.34400833724,2,8,58,31.11990213394165,15
290287.34400833724,2,14,59,31.838699340820312,15
290287.34400833724,2,14,60,32.46794295310974,15
290287.34400833724,2,15,61,33.0332465171814,15
290287.34400833724,2,10,62,33.614407777786255,15
290287.34400833724,2,14,63,34.22983241081238,15
290287.34400833724,2,15,64,34.8545024394989,15
290287.34400833724,2,15,65,35.60069298744202,15
290287.34400833724,2,11,66,36.25248646736145,15
290287.34400833724,2,16,67,36.89429712295532,15
290287.34400833724,2,10,68,37.511266231536865,15
290287.34400833724,2,16,69,38.21234655380249,15
290287.34400833724,2,8,70,38.820212841033936,15
290287.34400833724,2,14,71,39.53663492202759,15
290287.34400833724,2,6,72,40.169639110565186,15
