method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
traditional_gp,{},DT,0,280936.0742343979,329962.0646815854,4.673004150390625e-05,137.99648714065552,"['(((""Day.Of.Week"" * ""Day.Of.Week"") + ((((((""Day"" * ""Returning.Visits"") - ""Returning.Visits"") * ((""Month"" - ""Day.Of.Week"") / (""Day.Of.Week"" + ""Day.Of.Week""))) - ""Returning.Visits"") + ((((""Returning.Visits"" + ""Returning.Visits"") + ""Returning.Visits"") - ((""Day"" * ""Returning.Visits"") / ""Month"")) - (((""Day.Of.Week"" - ""Day"") / ""Day.Of.Week"") + ((""Month"" * ""Month"") * (""Month"" / ""Day.Of.Week""))))) / (((((""Day"" * ""Month"") + ""Day.Of.Week"") - ((""Returning.Visits"" / ""Day"") + (""Month"" - ""Returning.Visits""))) + (((""Day.Of.Week"" / ""Day"") + (""Day.Of.Week"" - ""Month"")) / ""Month"")) + ""Returning.Visits""))) - ""Returning.Visits"")']"
traditional_gp,{},DT,1,280240.4155482549,348298.14190897666,5.0067901611328125e-05,135.9644968509674,"['(((((((""Day"" + ""Day"") * ((""Month"" + ""Day"") / (""Day.Of.Week"" + ""Returning.Visits""))) / ((""Day.Of.Week"" / (""Day"" + ""Day"")) * ((""Month"" * ""Day"") - ""Day.Of.Week""))) - (""Month"" + ""Day"")) + ((""Day.Of.Week"" * ""Day.Of.Week"") - ((((""Day.Of.Week"" + ""Month"") + ""Day"") / ""Month"") - ""Day""))) - ""Returning.Visits"") + ""Day"")']"
traditional_gp,{},DT,2,272516.18970425124,348903.76505299465,3.695487976074219e-05,103.91384315490723,"['((((((((""Day"" * ""Month"") / (""Month"" - ""Day"")) / ((""Day.Of.Week"" / ""Month"") / ""Day.Of.Week"")) - ""Day"") / ""Day"") + ((""Returning.Visits"" / (((""Day.Of.Week"" - ""Month"") - ""Day.Of.Week"") + ((""Day"" * ""Month"") + ""Day""))) * ((((""Month"" + ""Day.Of.Week"") * (""Returning.Visits"" / ""Day.Of.Week"")) / ""Month"") - (((""Returning.Visits"" + ""Day.Of.Week"") * (""Day"" + ""Day"")) - ""Returning.Visits"")))) / ((((""Month"" + ""Month"") + (((""Day.Of.Week"" - ""Day.Of.Week"") * (""Month"" - ""Day"")) / (""Returning.Visits"" / (""Day"" - ""Month"")))) - ((((""Month"" - ""Day.Of.Week"") - ""Returning.Visits"") + (""Returning.Visits"" - (""Day.Of.Week"" / ""Day.Of.Week""))) * ""Day.Of.Week"")) * ((((""Returning.Visits"" * (""Day.Of.Week"" / ""Day"")) - ((""Day"" - ""Day"") * (""Returning.Visits"" / ""Day.Of.Week""))) - (((""Returning.Visits"" * ""Month"") * (""Day.Of.Week"" - ""Month"")) * ((""Day.Of.Week"" / ""Month"") - ""Month""))) - ""Returning.Visits""))) + ((((""Day.Of.Week"" + ""Day.Of.Week"") * (""Day"" * ""Month"")) / ((""Day.Of.Week"" / (((""Day"" - ""Month"") / (""Month"" * ""Month"")) * (""Day"" * ""Month""))) / (((""Month"" - ""Day.Of.Week"") + ""Returning.Visits"") * (""Day.Of.Week"" / ""Month"")))) - ((((((""Month"" / ""Month"") * (""Returning.Visits"" / ""Month"")) / ((""Day"" + ""Day.Of.Week"") * ""Day"")) - (((""Month"" / ""Day.Of.Week"") - (""Day.Of.Week"" * ""Day.Of.Week"")) + ""Returning.Visits"")) * ((((""Day.Of.Week"" - ""Returning.Visits"") + (""Day.Of.Week"" * ""Month"")) - ""Month"") - ""Month"")) * ""Returning.Visits"")))']"
traditional_gp,{},DT,3,280311.50605471473,332406.3341306815,3.886222839355469e-05,133.88239002227783,"['(((""Day"" + (((""Day.Of.Week"" * ""Day"") - (((""Returning.Visits"" - ""Month"") / (""Day"" + ""Day.Of.Week"")) / ""Day"")) / ((((""Month"" * ""Returning.Visits"") * (""Month"" - ""Day.Of.Week"")) * ""Returning.Visits"") + ((""Day.Of.Week"" - ""Returning.Visits"") / ((""Returning.Visits"" + ""Month"") * ""Day.Of.Week""))))) * ((((((""Day.Of.Week"" + ""Day.Of.Week"") * ""Day.Of.Week"") / (""Month"" - ""Day.Of.Week"")) - (""Returning.Visits"" / ((""Day.Of.Week"" * ""Day.Of.Week"") / (""Month"" * ""Day"")))) - (((""Month"" - ""Returning.Visits"") + ""Day"") - ((""Month"" - ""Returning.Visits"") * ""Returning.Visits""))) / (((""Day.Of.Week"" * ((""Month"" + ""Day.Of.Week"") - (""Day"" / ""Day""))) * (((""Returning.Visits"" * ""Day.Of.Week"") * (""Returning.Visits"" / ""Month"")) + ""Day"")) - ((((""Day"" - ""Returning.Visits"") + ""Day.Of.Week"") * ""Day.Of.Week"") * (""Month"" - ""Day.Of.Week""))))) - ((""Day.Of.Week"" * (((""Day.Of.Week"" - ""Returning.Visits"") + (""Day.Of.Week"" * ""Day.Of.Week"")) + ""Day.Of.Week"")) / ""Day.Of.Week""))']"
traditional_gp,{},DT,5,281759.4153001404,329530.7972606351,4.363059997558594e-05,124.4798834323883,"['((((""Returning.Visits"" - (""Day"" / ""Day.Of.Week"")) - (((""Returning.Visits"" + ""Month"") * ""Day.Of.Week"") / ((""Returning.Visits"" + ""Day"") / ""Day.Of.Week""))) + ""Month"") + (((((((""Day.Of.Week"" / ""Day"") / ""Day"") + ""Day.Of.Week"") - (((""Day"" + ""Day.Of.Week"") * (""Returning.Visits"" / ""Day.Of.Week"")) / ((""Returning.Visits"" - ""Day"") * (""Returning.Visits"" - ""Month"")))) * ""Day"") / (((""Returning.Visits"" / ((""Returning.Visits"" + ""Month"") - (""Day"" / ""Day.Of.Week""))) - (""Day.Of.Week"" * ((""Day.Of.Week"" / ""Month"") - ""Day.Of.Week""))) * ""Day.Of.Week"")) - ""Day.Of.Week""))']"
traditional_gp,{},DT,6,281370.63929496176,334811.0120364426,4.315376281738281e-05,131.20341873168945,"['((((((""Day"" + ""Day"") - ((""Day"" * ""Day.Of.Week"") / (""Day"" / ""Day.Of.Week""))) - ((((""Returning.Visits"" / ""Day.Of.Week"") / (""Day"" + ""Day"")) - ((""Day"" - ""Day.Of.Week"") * (""Month"" * ""Day.Of.Week""))) / (((""Month"" * ""Month"") - (""Month"" / ""Day"")) + (""Day.Of.Week"" / (""Day"" * ""Returning.Visits""))))) + (""Returning.Visits"" - ""Day"")) * (((((""Day.Of.Week"" / (""Month"" * ""Month"")) - ((""Day"" * ""Day.Of.Week"") / (""Day"" / ""Day.Of.Week""))) - ""Day"") + (""Returning.Visits"" - (""Day"" + ""Day.Of.Week""))) * ""Returning.Visits"")) + ""Returning.Visits"")']"
traditional_gp,{},DT,4,278926.7407161112,345089.8504308824,4.506111145019531e-05,132.66107058525085,"['((""Returning.Visits"" + ((""Day.Of.Week"" * ((((""Day.Of.Week"" * ""Day.Of.Week"") * (""Day.Of.Week"" * ""Month"")) + ((""Day.Of.Week"" - ""Returning.Visits"") * (""Returning.Visits"" / ""Day.Of.Week""))) + (((""Month"" * ""Day"") * ""Month"") * ((""Day.Of.Week"" + ""Day.Of.Week"") * ""Month"")))) * ((((""Month"" / (""Day.Of.Week"" - ""Month"")) / (""Month"" - ""Returning.Visits"")) / ""Day"") * ((""Day"" / ((""Returning.Visits"" - ""Month"") * (""Returning.Visits"" - ""Day.Of.Week""))) * ""Day.Of.Week"")))) + (((((((""Day"" / ""Day.Of.Week"") * (""Month"" - ""Day"")) / (""Day.Of.Week"" / ""Month"")) - (((""Returning.Visits"" * ""Day.Of.Week"") - ""Day"") + ""Day.Of.Week"")) - ""Returning.Visits"") / ""Returning.Visits"") * ""Day.Of.Week""))']"
traditional_gp,{},DT,7,284015.6686344669,332341.16077988176,4.601478576660156e-05,108.13950991630554,"['(((""Month"" * (((((""Day"" / ""Month"") * (""Day"" / ""Day"")) / (""Month"" - (""Day.Of.Week"" / ""Day""))) - (""Month"" - ""Returning.Visits"")) / ((((""Returning.Visits"" + ""Returning.Visits"") / (""Returning.Visits"" / ""Day"")) - ((""Day.Of.Week"" - ""Returning.Visits"") / (""Day.Of.Week"" + ""Month""))) - (((""Day"" * ""Month"") / (""Day"" + ""Day.Of.Week"")) * ((""Day"" - ""Returning.Visits"") / (""Day"" + ""Day.Of.Week"")))))) + ""Day.Of.Week"") - ""Returning.Visits"")']"
traditional_gp,{},DT,9,283358.3730993635,327786.2977275646,4.506111145019531e-05,144.6277096271515,"['((((((((""Day.Of.Week"" * ""Returning.Visits"") * (""Day"" - ""Month"")) + ((""Day.Of.Week"" * ""Returning.Visits"") / (""Day"" - ""Day.Of.Week""))) / (""Day"" / ""Day.Of.Week"")) / ((((""Day"" - ""Returning.Visits"") - (""Day"" + ""Returning.Visits"")) - ""Returning.Visits"") + ""Month"")) / ""Returning.Visits"") + ((((((""Day"" + ""Returning.Visits"") + ""Returning.Visits"") - ""Month"") * ((""Returning.Visits"" * (""Day.Of.Week"" * ""Day.Of.Week"")) * ((""Returning.Visits"" * ""Day.Of.Week"") / ""Month""))) / (((""Returning.Visits"" / ""Day"") * ""Month"") - ((""Month"" * ""Day"") + (""Returning.Visits"" * (""Day.Of.Week"" * ""Returning.Visits""))))) / ((((""Day"" / (""Day"" / ""Day.Of.Week"")) / ((""Day.Of.Week"" - ""Returning.Visits"") + ""Month"")) / ((""Returning.Visits"" / (""Month"" * ""Day"")) / ((""Returning.Visits"" + ""Returning.Visits"") + (""Returning.Visits"" * ""Returning.Visits"")))) / ((""Day.Of.Week"" * ""Month"") / ""Returning.Visits"")))) - ""Returning.Visits"")']"
traditional_gp,{},DT,8,284200.3593557684,338542.1813349008,4.673004150390625e-05,152.46759963035583,"['((((((((""Month"" + ""Day"") * (""Day.Of.Week"" * ""Returning.Visits"")) + ((""Month"" / ""Returning.Visits"") - (""Day"" - ""Month""))) - (((""Day"" + ""Month"") * ""Returning.Visits"") / ""Day.Of.Week"")) / ((((""Returning.Visits"" - ""Day"") * (""Day"" / ""Month"")) - ((""Month"" + ""Day"") * ""Day"")) * (((""Day"" + ""Day.Of.Week"") + (""Day.Of.Week"" - ""Month"")) / (""Day.Of.Week"" * (""Returning.Visits"" - ""Day""))))) + ""Month"") / ((""Day"" + ""Day"") + ""Returning.Visits"")) + ((""Day"" / (((((""Day"" / ""Returning.Visits"") * (""Month"" / ""Day"")) - ((""Month"" - ""Day.Of.Week"") + ""Month"")) + (""Day"" * (""Day"" - ""Day""))) * (((""Returning.Visits"" + ""Day.Of.Week"") * (""Day"" / (""Month"" * ""Day""))) / (((""Day"" - ""Day"") * (""Returning.Visits"" / ""Day"")) + ((""Day"" / ""Day"") - (""Day"" - ""Returning.Visits"")))))) + (((""Returning.Visits"" * ""Month"") + ((""Returning.Visits"" - ((""Day.Of.Week"" * ""Day"") - (""Returning.Visits"" + ""Day""))) * (""Returning.Visits"" + ""Day""))) - (((((""Day.Of.Week"" / ""Day"") - (""Day"" - ""Returning.Visits"")) + ""Returning.Visits"") * ""Day.Of.Week"") + ((""Day.Of.Week"" - ((""Day.Of.Week"" / ""Returning.Visits"") / (""Returning.Visits"" + ""Day.Of.Week""))) / (((""Day"" - ""Day"") * (""Day"" + ""Returning.Visits"")) * ""Month""))))))']"
